work_id,year,decision,ref_check,verified_outbound_links,final_disposition,title
work_001c0f01391e19c4,2020.0,core_relevant,verified,4,resolved: linked to graph,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labelin
work_0133b141f368655b,2012.0,role_bridge,verified,4,resolved: linked to graph,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS
work_01ba46e87d766569,2023.0,role_bridge,verified,0,resolved: verified zero outbound links,Odor Discrimination as a Marker of Early Alzheimer’s Disease
work_01c85c45ede98837,2021.0,core_relevant,verified,15,resolved: linked to graph,VICE: Visual Identification and Correction of Neural Circuit Errors
work_020e3982c01153ed,2023.0,adjacent_relevant,verified,2,resolved: linked to graph,An efficient 3D extraction and reconstruction method for myelinated axons of mouse cerebral cortex based on mixed intell
work_022f4537397531be,2019.0,adjacent_relevant,verified,4,resolved: linked to graph,"MagC, magnetic collection of ultrathin sections for volumetric correlative light and electron microscopy"
work_02bef5f71001dccb,2023.0,adjacent_relevant,verified,13,resolved: linked to graph,Tau trajectory in Alzheimer's disease: Evidence from the connectome-based computational models.
work_03006500ac944fb3,2023.0,adjacent_relevant,verified,3,resolved: linked to graph,Caenorhabditis elegans Connectomes of both Sexes as Image Classifiers
work_030d659739b83f09,2016.0,role_bridge,verified,2,resolved: linked to graph,Community detection in networks: A user guide
work_0344c5d0298b1c78,2017.0,adjacent_relevant,verified,8,resolved: linked to graph,Neural Interactome: Interactive Simulation of a Neuronal System
work_03f185e6c6909898,2025.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),"Integrative analysis of single-neuron projectomes links connectome, transcriptome, and function in the mouse cortex."
work_047847ced0c96ed0,2019.0,adjacent_relevant,verified,2,resolved: linked to graph,The head direction circuit of two insect species
work_047e0665d50b50ba,2015.0,core_relevant,verified,5,resolved: linked to graph,Crowdsourcing the creation of image segmentation algorithms for connectomics
work_068ce671d4050e17,2020.0,adjacent_relevant,verified,7,resolved: linked to graph,EM-net: Deep learning for electron microscopy image segmentation
work_06fed2e30ee196ac,2013.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),The connectomics challenge.
work_071108fd660498ef,2015.0,role_bridge,verified,9,resolved: linked to graph,Fast Approximate Quadratic Programming for Graph Matching
work_075bd479e1fdf07b,2026.0,role_bridge,verified,2,resolved: linked to graph,Evidence for a Functional Proximity Law in Multilayer Networks
work_07da33548167bb21,2019.0,core_relevant,verified,0,resolved: verified zero outbound links,3D Electron Microscopy Study of Synaptic Organization of the Normal Human Transentorhinal Cortex and Its Possible Altera
work_07f25302c0da9745,2024.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Graphs and the idiographic brain.
work_092ab2e11895f53a,2011.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Neuronal Tracing for Connectomic Studies
work_09c0fa76b2cfac78,2021.0,role_bridge,verified,3,resolved: linked to graph,A Unified Framework for Neuroscience Morphological Data Visualization
work_0a6f89f17fb7c4a5,2013.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),"Graph analysis of the human connectome: Promise, progress, and pitfalls"
work_0b58677ca30e94c9,2017.0,role_bridge,not-in-s2,,unresolved (not-in-s2),Statistical Inference on Random Dot Product Graphs: a Survey
work_0c53b6e2719558ce,2013.0,adjacent_relevant,verified,5,resolved: linked to graph,Visualizing the human connectome
work_0d0f6db3af67525b,2018.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Neural Mechanisms of Motion Processing in the Mammalian Retina.
work_0d6070f19ac2ba89,2024.0,core_relevant,verified,5,resolved: linked to graph,ATUM-Tomo: A multi-scale approach to cellular ultrastructure by combined volume scanning electron microscopy and electro
work_0dc9ade7576f1fda,2016.0,adjacent_relevant,verified,14,resolved: linked to graph,Connectome Networks: From Cells to Systems
work_0f210c53d8261375,2020.0,adjacent_relevant,verified,22,resolved: linked to graph,Multiscale comparative connectomics
work_0f2e576ce4d24d6a,2026.0,adjacent_relevant,not-in-s2,,unresolved (not-in-s2),Mapping Connectomic Structure to Function(s) in Cerebellar-like Networks using Kernel Regression
work_0f667472c3c0d4cd,2026.0,adjacent_relevant,verified,5,resolved: linked to graph,Bridging Histology and Tractography: First In Vivo Visualization of Short‐Range Prefrontal Connections Informed by Prima
work_0faabd73a0b69ddd,2019.0,adjacent_relevant,verified,5,resolved: linked to graph,Valid two‐sample graph testing via optimal transport Procrustes and multiscale graph correlation with applications in co
work_10625a8cbeb96224,2012.0,adjacent_relevant,verified,13,resolved: linked to graph,Visualization in Connectomics
work_11708302632c43f1,2025.0,core_relevant,verified,2,resolved: linked to graph,Unveiling and Steering Connectome Organization with Interpretable Latent Variables
work_11bd92b465e2aaf3,2025.0,adjacent_relevant,verified,1,resolved: linked to graph,Rocket-crane algorithm for the Feedback Arc Set problem
work_11d1cfcde84e9410,2011.0,adjacent_relevant,verified,7,resolved: linked to graph,A tutorial in connectome analysis: Topological and spatial features of brain networks
work_121114411163d845,2011.0,role_bridge,verified,2,resolved: linked to graph,Three-Dimensional Reconstruction of Serial Mouse Brain Sections: Solution for Flattening High-Resolution Large-Scale Mos
work_122af998e627d537,2018.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Multimodal Connectomics in Psychiatry: Bridging Scales From Micro to Macro.
work_13df857c596640ee,2022.0,core_relevant,verified,4,resolved: linked to graph,A functionally ordered visual feature map in the Drosophila brain.
work_13fda9927df18461,2024.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Neural Control of Naturalistic Behavior Choices.
work_14777efdec1861e5,2021.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Quantitative skills in undergraduate neuroscience education in the age of big data.
work_1494588f60af3042,2025.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),"Learning brains: educational neuroscience, neurotechnology and neuropedagogy"
work_14ac87ba48283ac0,2020.0,core_relevant,verified,13,resolved: linked to graph,Neuronal Subcompartment Classification and Merge Error Correction
work_15637f799663d649,2021.0,core_relevant,verified,6,resolved: linked to graph,A Geometric Chung Lu model and the Drosophila Medulla connectome
work_15ac2c50e04c11f3,2018.0,adjacent_relevant,verified,10,resolved: linked to graph,When tractography meets tracer injections: a systematic study of trends and variation sources of diffusion-based connect
work_15c1e28270c671f9,2015.0,role_bridge,verified,3,resolved: linked to graph,Integrated Visualization of Human Brain Connectome Data
work_161efa6714c403ba,2015.0,role_bridge,verified,5,resolved: linked to graph,ConnectomeDB – Sharing Human Brain Connectivity Data
work_164ab99ff38576f9,2021.0,adjacent_relevant,verified,5,resolved: linked to graph,Comparative connectomics of the primate social brain
work_1672afc156639677,2020.0,role_bridge,verified,4,resolved: linked to graph,"Citizen science, cells and CNNs – deep learning for automatic segmentation of the nuclear envelope in electron microscop"
work_16956a138acecbe4,2026.0,role_bridge,no-doi,,unresolved (no-doi),"CLABTOOLKIT: An Open-Source Toolkit for Routine Processing, Manipulation, and Visualization of Neuroimaging Data"
work_17515b46569c966d,2026.0,core_relevant,verified,11,resolved: linked to graph,Volumetric denoising enables high-throughput volume electron microscopy and efficient downstream analysis.
work_17a397689c02868a,2022.0,adjacent_relevant,verified,5,resolved: linked to graph,Differences in the critical dynamics underlying the human and fruit-fly connectome
work_17aff448044a0745,2014.0,adjacent_relevant,verified,4,resolved: linked to graph,Connexel visualization: a software implementation of glyphs and edge-bundling for dense connectivity data using brainGL
work_186acb8763d28840,2005.0,adjacent_relevant,verified,2,resolved: linked to graph,The Human Connectome: A Structural Description of the Human Brain
work_1b719c6ba34d2ed3,2018.0,adjacent_relevant,verified,0,resolved: verified zero outbound links,Teneurin-3 controls topographic circuit assembly in the hippocampus
work_1b7d3ac1442704d3,2026.0,adjacent_relevant,verified,6,resolved: linked to graph,Whole-neuron morphology and genetic identity define cell types and reveal principles of brain-wide connectivity.
work_1bfad71fdf4de90f,2022.0,role_bridge,verified,2,resolved: linked to graph,Olfactory Evaluation in Alzheimer’s Disease Model Mice
work_1c447d78a514ecfa,2018.0,adjacent_relevant,verified,6,resolved: linked to graph,Matched Filters for Noisy Induced Subgraph Detection
work_1de3e706afcc6b0d,2015.0,adjacent_relevant,verified,7,resolved: linked to graph,Optimization of Large-scale Mouse Brain Connectome via Joint Evaluation of DTI and Neuron Tracing Data
work_1e6634edd433800d,2016.0,role_bridge,verified,0,resolved: verified zero outbound links,Olfactory dysfunction in Alzheimer’s disease
work_2023cc62cedb365a,2021.0,adjacent_relevant,verified,8,resolved: linked to graph,Cross-modal coherent registration of whole mouse brains
work_209d8965d2e80500,2016.0,core_relevant,verified,0,resolved: verified zero outbound links,NeuroGFX: a graphical functional explorer for fruit fly brain circuits
work_20b1e77216429111,2025.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Extended reality in the changing landscape of cranial neurosurgery: Role of image fusions and connectomics in precision 
work_213bd181973034b5,2020.0,adjacent_relevant,verified,9,resolved: linked to graph,Creative destruction: Sparse activity emerges on the mammal connectome under a simulated communication strategy with col
work_21faf952fda7708d,2021.0,adjacent_relevant,verified,21,resolved: linked to graph,Progress towards a cellularly resolved mouse mesoconnectome is empowered by data fusion and new neuroanatomy techniques.
work_222a233df7db45f4,2020.0,adjacent_relevant,not-in-s2,,unresolved (not-in-s2),Detecting structural perturbations from time series with deep learning
work_2241814d12e83665,2024.0,core_relevant,verified,5,resolved: linked to graph,Gossamer: Scaling Image Processing and Reconstruction to Whole Brains
work_22a069f788d55d8d,2018.0,role_bridge,no-doi,,unresolved (no-doi),The Allen Brain Atlas as a Resource for Teaching Undergraduate Neuroscience.
work_230753987e2feb16,2021.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Reducing Manual Operation Time to Obtain a Segmentation Learning Model for Volume Electron Microscopy Using Stepwise Dee
work_24591202ea00f970,2026.0,adjacent_relevant,verified,2,resolved: linked to graph,From Connectome to Cognition: Building the First Digital Organism
work_2528fed4e090c0a8,2026.0,role_bridge,verified,4,resolved: linked to graph,"Brain-wide mapping of oligodendrocyte organization, oligodendrogenesis, and myelin injury"
work_2547e9b9bab8dbf7,2025.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Histopathological and ultrastructural changes in different cell types during ischemic and hemorrhagic stroke.
work_2566caf4396eb201,2016.0,adjacent_relevant,verified,11,resolved: linked to graph,Toward Whole-Body Connectomics
work_25d9bf42bedbc0f2,2017.0,role_bridge,verified,6,resolved: linked to graph,FIJI Macro 3D ART VeSElecT: 3D Automated Reconstruction Tool for Vesicle Structures of Electron Tomograms
work_2713518d047c5d83,2013.0,role_bridge,verified,2,resolved: linked to graph,DP2: Distributed 3D image segmentation using micro-labor workforce
work_2722e2d5037a3f42,2018.0,role_bridge,verified,1,resolved: linked to graph,Normalised degree variance
work_27fb2a0d9d1c342f,2009.0,role_bridge,verified,0,resolved: verified zero outbound links,CATMAID: collaborative annotation toolkit for massive amounts of image data
work_2839d159b329c51e,2020.0,role_bridge,verified,3,resolved: linked to graph,Graph Matching Based Connectomic Biomarker with Learning for Brain Disorders
work_299eb90aaf78a3aa,2011.0,role_bridge,verified,0,resolved: verified zero outbound links,"A Genetically Encoded Tag for Correlated Light and Electron Microscopy of Intact Cells, Tissues, and Organisms"
work_2a3d2820efed2cfe,2022.0,adjacent_relevant,verified,6,resolved: linked to graph,Saturated reconstruction of living brain tissue
work_2b21fd53a734b207,2025.0,adjacent_relevant,verified,7,resolved: linked to graph,Integrated Classification of Cortical Cells and Quantitative Projectomic Mapping Unveil Organizational Principles of Bra
work_2b4f63e6ecb953d1,1985.0,core_relevant,verified,0,resolved: verified zero outbound links,The neural circuit for touch sensitivity in Caenorhabditis elegans
work_2b60bd560e430bed,2018.0,adjacent_relevant,verified,5,resolved: linked to graph,OpenWorm: overview and recent advances in integrative biological simulation of Caenorhabditis elegans
work_2b7b16a895c2f46c,2006.0,role_bridge,verified,0,resolved: verified zero outbound links,Statistical mechanics of community detection.
work_2c23ff2f9ed14485,2022.0,core_relevant,verified,26,resolved: linked to graph,Multi-layered maps of neuropil with segmentation-guided contrastive learning
work_2c6fe44c1be1c300,2013.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Cellular-resolution connectomics: challenges of dense neural circuit reconstruction
work_2d23fc156da4f7ce,2019.0,role_bridge,verified,1,resolved: linked to graph,TraceMontage: a Method for Merging Multiple Independent Neuronal Traces
work_2d5170d4591ffa30,2007.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Ultramicroscopy: three-dimensional visualization of neuronal networks in the whole mouse brain
work_2df062ae66c16e94,2015.0,adjacent_relevant,verified,3,resolved: linked to graph,Community Detection and Classification in Hierarchical Stochastic Blockmodels
work_2e135d4ee49a93d1,2010.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),From the Connectome to the Synaptome: An Epic Love Story
work_2f409874ec73fe00,2013.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Toward the Drosophila connectome: structural analysis of the brain network
work_2ff133b450151f26,2023.0,adjacent_relevant,verified,9,resolved: linked to graph,"Architectural organization of ∼1,500-neuron modular minicolumnar disinhibitory circuits in healthy and Alzheimer's corti"
work_308f5478abdb4fa4,2014.0,adjacent_relevant,no-doi,,unresolved (no-doi),Two-sample Hypothesis Testing for Random Dot Product Graphs via Adjacency Spectral Embedding
work_30ab633401383953,2026.0,role_bridge,verified,1,resolved: linked to graph,Semi-Automatic Correction of 3D Tubular Structure Skeletons via Component-Wise MST and Filtered Delaunay Triangulation
work_30b183a150c2351a,2025.0,role_bridge,verified,4,resolved: linked to graph,Controlling Reciprocity in Binary and Weighted Networks: A Novel Density-Conserving Approach
work_3124a20f92cb886a,2024.0,adjacent_relevant,verified,6,resolved: linked to graph,Cell type-specific connectome predicts distributed working memory activity in the mouse brain
work_31486f2a35f6fd01,2024.0,role_bridge,verified,12,resolved: linked to graph,Connectome-based prediction of functional impairment in experimental stroke models
work_318843cf74d33350,2023.0,role_bridge,verified,11,resolved: linked to graph,New Challenges for Anatomists in the Era of Omics
work_32b0dddba5ca9668,2010.0,adjacent_relevant,verified,0,resolved: verified zero outbound links,A high-level 3D visualization API for Java and ImageJ
work_33349c24be53087b,2026.0,adjacent_relevant,verified,1,resolved: linked to graph,Optimized genetic tracers for viral mediated neuronal projection mapping
work_333df38005e93b84,2025.0,core_relevant,verified,13,resolved: linked to graph,A distribution-aware semi-supervised pipeline for cost-effective neuron segmentation
work_34a1d7dbc52da5e7,2022.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Identifying vulnerable brain networks associated with Alzheimer's disease risk.
work_35c1ecb5d4fa2f12,2022.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Advancing the Science of Recruitment and Retention in Alzheimer’s disease Clinical Studies among Spanish‐speaking immigr
work_36162776d7c53766,2014.0,role_bridge,verified,1,resolved: linked to graph,Multilayer Analysis and Visualization of Networks
work_38b49edc6e3d2483,2014.0,adjacent_relevant,verified,15,resolved: linked to graph,Exploring the third dimension: volume electron microscopy comes of age.
work_39cd5f0563d3d522,2011.0,adjacent_relevant,verified,1,resolved: linked to graph,Macaque structural connectivity revisited: CoCoMac 2.0
work_3a04d60d1153548a,2019.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Single‐neuron axonal reconstruction: The search for a wiring diagram of the brain
work_3a9691a3258cc3e4,2016.0,role_bridge,no-doi,,unresolved (no-doi),Explicitly Linking Regional Activation and Function Connectivity: Community Structure of Weighted Networks with Continuo
work_3ac7168aedad246c,2022.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Neuroimaging and thalamic connectomics in epilepsy neuromodulation.
work_3af5c3b4454d1441,2018.0,adjacent_relevant,verified,2,resolved: linked to graph,Domain Adaptive Segmentation In Volume Electron Microscopy Imaging
work_3cc21ebfdfd82947,2024.0,adjacent_relevant,verified,22,resolved: linked to graph,Two- and three-dimensional electron microscopy techniques: powerful tools for studying the brain under physiological and
work_3cf5d4c3be86004c,2017.0,adjacent_relevant,verified,3,resolved: linked to graph,A Semiparametric Two-Sample Hypothesis Testing Problem for Random Graphs
work_3e58e01b1b6afbaf,2024.0,role_bridge,verified,8,resolved: linked to graph,Brain Network Fingerprints of Alzheimer’s Disease Risk Factors in Mouse Models with Humanized APOE Alleles
work_3f1826f13366209a,2026.0,adjacent_relevant,verified,4,resolved: linked to graph,Toward a foundational brain model of intelligence.
work_3fd452a2623069a1,2026.0,role_bridge,verified,3,resolved: linked to graph,Dopamine Depletion Drives Whole-Brain Oscillatory Disruptions via Cortico–Subcortical Resonance: A Multiscale Model of P
work_403be6bf6a79f219,2013.0,role_bridge,verified,4,resolved: linked to graph,"Human Connectome Project Informatics: quality control, database services, and data visualization"
work_404e1398f29ac566,2026.0,adjacent_relevant,verified,1,resolved: linked to graph,Multiple coexisting pathways to synchronization shape seizure dynamics in a mesoscale mouse brain model
work_4056ab75c914db70,2013.0,adjacent_relevant,verified,5,resolved: linked to graph,Vertex nomination schemes for membership prediction
work_4115864d71311555,2010.0,core_relevant,verified,0,resolved: verified zero outbound links,Radon-Like features and their application to connectomics
work_42add33f0ddb0eba,2020.0,role_bridge,verified,5,resolved: linked to graph,Testing biological network motif significance with exponential random graph models
work_432ed361ab9274cc,2020.0,adjacent_relevant,verified,10,resolved: linked to graph,"The Mixture Graph-A Data Structure for Compressing, Rendering, and Querying Segmentation Histograms"
work_43b7faaf8820340a,2025.0,adjacent_relevant,not-in-s2,,unresolved (not-in-s2),Symmetries of Living Systems: Symmetry Fibrations and Synchronization in Biological Networks
work_43b8f0d68020f509,2017.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),New dimensions of connectomics and network plasticity in the central nervous system
work_440fb4477db86d46,2013.0,role_bridge,verified,10,resolved: linked to graph,VolRoverN: Enhancing surface and volumetric reconstruction for realistic dynamical simulation of cellular and subcellula
work_440fdfad4902f6ae,2008.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Ome sweet ome: what can the genome tell us about the connectome?
work_44b42b742b2087f0,2023.0,adjacent_relevant,verified,3,resolved: linked to graph,Predicting distributed working memory activity in a large-scale mouse brain: the importance of the cell type-specific co
work_4520228f7f3302c2,2023.0,core_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Network Community Detection in Connectomics Data using Graph Theory
work_459f1826c547937f,2025.0,core_relevant,verified,2,resolved: linked to graph,Feedforward Ordering in Neural Connectomes via Feedback Arc Minimization
work_45b96d662a877736,2025.0,adjacent_relevant,verified,9,resolved: linked to graph,Prediction of functional neural circuits in caenorhabditis elegans based on overlapping community detection
work_45c2bb988725056f,2018.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Three-dimensional simulation of the Caenorhabditis elegans body and muscle cells in liquid and gel environments for beha
work_463ae7b1129e918a,2020.0,adjacent_relevant,verified,7,resolved: linked to graph,"CEM500K, a large-scale heterogeneous unlabeled cellular electron microscopy image dataset for deep learning"
