work_id,stages,datasets,organism,axis,method,note
work_0a7ba8ffe545833c,,,mouse;other,biological_application,,"PDF: Okun et al. Nature 2015. In vivo ephys in mouse/monkey sensory cortex plus in vitro synaptic connectivity. Circuit physiology, not a pipeline-stage paper."
work_25acfacf034337ac,,,,field_synthesis,,"PDF: Titley, Brunel, Hansel Neuron 2017 review. Synaptic vs intrinsic plasticity / engram integration. Field synthesis, not connectomics methods."
work_2cc0677e9c1d540a,,,mouse,biological_application,two-photon,"PDF: Dipoppa et al. bioRxiv 2016/2017. Two-photon imaging of Pyr/Vip/Sst/Pvalb in mouse V1 plus a circuit reweighting model. Biology/circuit application."
work_4deb27b42801f710,,,mouse,biological_application,,"PDF: Sun et al. Neuron 2017. Proximodistal CA3 synaptic connectivity and memory reactivation in mouse dorsal hippocampus."
work_505328557dd7dca8,,,,bridge,,"PDF: Berlemont & Mongillo bioRxiv 2022. Mean-field theory of balanced networks / glassy phase. Network-science bridge, not a connectome reconstruction."
work_8a6ce05393695c68,infrastructure,DS04 FAFB;DS05 hemibrain,fly,pipeline_stage,electron microscopy;Neuroglancer,"PDF: Huang et al. arXiv 2012.12175. Unsupervised latent features for mining massive EM volumes (hemibrain, FAFB-scale fly data) with a Neuroglancer-based explorer. Journal DOI is the arXiv DataCite DOI 10.48550/arXiv.2012.12175 (no later journal version)."
work_8b8134900025d035,,,,field_synthesis,,"PDF: Allen & Eroglu Neuron 2017. Review of astrocyte–synapse cell biology."
work_a35b2a0f4328b341,acquisition,,mouse,pipeline_stage,two-photon,"PDF: Zhao et al. Light Sci Appl 2018. Skull optical clearing window for in vivo two-photon imaging of mouse cortex at synaptic resolution. Imaging/acquisition method."
work_c5d4203ffdbb350d,preparation,,mouse,pipeline_stage,electron microscopy,"PDF: Zhang et al. Nat Neurosci 2019. Multiplexed dAPEX2 peroxidase EM labeling of genetically identified cell types for circuit mapping. Sample-prep / labeling for EM."
work_de90f3f542a40fe0,,,,bridge,,"Catalog PDF at files/doi_10.1103_physreve.99.052414.pdf is the WRONG paper (Keijser & Sadeh 2026 voltage-imaging perspective, 10.1117/1.NPh.13.S2.S23202). Tags from the Phys Rev E 99, 052414 abstract: theoretical balanced-network correlated state. Network-science bridge. Needs a PDF swap from 10.1101/372607."
work_fb288126909ecad7,,,,field_synthesis,,"PDF: Devine & Kittler Nat Rev Neurosci 2018. Review of presynaptic mitochondria in health and disease. Field synthesis; not tagged health_translation because screening decision is adjacent_relevant, not role_bridge."
