work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,scale_relationship,core_gate,human_review_priority,human_review_reason
work_0001c442a520339a,d2dddce8d2119de2f515efa9921dc7c01a985d2d,unresolved,1,d2dddce8d2119de2f515efa9921dc7c01a985d2d,Baseline biomarkers of connectome disruption and atrophy predict future processing speed in early multiple sclerosis,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,949c581f2b4245c15098e5f657a0ff532a3b3fc9378fe20a328edf415f438698,batch_000,out_of_scope,[],0.94,baseline pattern of connectome disruption due to T2-FLAIR lesions,MS lesion-based macro connectome modeling without nanoscale/EM link.,['ambiguous_connectome_usage'],macro_only,not_applicable,True,random_high_confidence_exclusion_audit
work_001454df91336514,a9711483c91489ffd7cebb5cd9370694ed92544a,core_audit,1,a9711483c91489ffd7cebb5cd9370694ed92544a,Role of neural activity during synaptogenesis in Drosophila,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,9bc11ccacaae039acac07b0d82ae0111cc97434290601a84375030a1e415c6db,batch_000,adjacent_relevant,['biological_application'],0.82,Reducing neural activity genetically or pharmacologically disrupts the normally precise embryonic and larval neuromuscular connections,"Drosophila synaptic connectivity regulation during development, not wiring-graph reconstruction.",[],unclear,not_applicable,True,low_confidence
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,1,c61c2773d3519d785b2e0476fa3521a2179d30fd,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,5ef3000eabfc20b5e3e44f0fd06a5ae1ccac2ec7ead76becf6f71aae2144e179,batch_000,adjacent_relevant,"['structure_function_modeling', 'biological_application']",0.8,Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex,Theory on EM synaptic connectivity and brainwaves; no connectome mapping.,[],nanoscale_only,not_applicable,True,low_confidence
work_0061e496fde63c76,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,unresolved,1,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,NEUROIMAGING AND CONNECTOMICS OF DRUG-RESISTANT EPILEPSY AT MULTIPLE SCALES: FROM FOCAL LESIONS TO MACROSCALE NETWORKS,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,a00624c938e459b798fc57ea04250e6594a7268ce0e9f858ba89d1a5f33644b0,batch_000,out_of_scope,[],0.92,NEUROIMAGING AND CONNECTOMICS OF DRUG-RESISTANT EPILEPSY AT MULTIPLE SCALES,Clinical MRI/network review of focal epilepsy without nanoscale connectomics.,"['diffusion_mri_or_tractography', 'generic_health_context']",macro_only,not_applicable,True,random_high_confidence_exclusion_audit
work_007a21bf306095ee,d0ce113a8440bf125349e51542005fbc46c20ccd,role_bridge,1,d0ce113a8440bf125349e51542005fbc46c20ccd,Genome Annotation and Analysis,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],unclear,not_applicable,True,uncertain_or_missing_abstract
work_0128137052dec3e0,529dced83d9366301577eec26503d894116c54f5,core_audit,1,529dced83d9366301577eec26503d894116c54f5,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,dabdbfe73a50f0bc10d0fcdc539c5e4dc2923bf90488ed8216941d08d89e8096,batch_000,adjacent_relevant,"['biological_application', 'structure_function_modeling']",0.81,novel synaptic conductance inference method to whole-cell recordings from genetically specified preBötC neurons,Electrophysiology-based synaptic connectivity inference in respiratory circuit.,[],unclear,not_applicable,True,low_confidence
work_0133b141f368655b,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,role_bridge,1,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,4f779397ffa07b48128f9c407ed0c991ad8bea073fea0c9cf86109817effc606,batch_000,role_bridge,['infrastructure'],0.84,completion of the rat and mouse connectomes in BAMS,Neuroanatomical atlas collation infrastructure for mesoscale connectome mapping.,['mesoscale_only'],unclear,not_applicable,True,low_confidence
work_01a371d322fa7848,0ca01e9a1670ec8571bbb367df253715093b201f,core_audit,1,0ca01e9a1670ec8571bbb367df253715093b201f,Optical Imaging in Brainsmatics,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,7b43f12041f09800eb9cd585b43e010b6948d85ea6913e7558308d41d56292a2,batch_000,adjacent_relevant,"['acquisition_preparation', 'alternative_modality']",0.78,"brain-wide connectome, genome, proteome, transcriptome, metabolome",Optical imaging perspective for brainsmatics/connectome spatial informatics.,['ambiguous_connectome_usage'],multi_scale_bridging,not_applicable,True,low_confidence
work_01a98f721c115b3c,22ade92dc3207e51a9c47dbb3530c8977599500f,core_audit,1,22ade92dc3207e51a9c47dbb3530c8977599500f,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,69d42d26bf363b4b6575aec9bf633f501a3a43865cf681954fc75d7327b3496f,batch_000,adjacent_relevant,"['biological_application', 'structure_function_modeling']",0.79,grid cells offer a particularly rich opportunity for dissecting the mechanistic underpinnings of a cortical circuit,Circuit connectivity inference strategy in grid cells without connectome reconstruction.,[],unclear,not_applicable,True,low_confidence
work_01fc48c8442aa598,97bfc5a1af7a415bcce280e926eecdf6e6142e04,core_audit,1,97bfc5a1af7a415bcce280e926eecdf6e6142e04,Convergent developmental principles between Caenorhabditis elegans and human connectomes.,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,0af0e3765601a08700ce3537e6a18adfded67959757dfdc6032fccb009c30907,batch_000,adjacent_relevant,['biological_application'],0.83,reconstructed the entire brain connectome for eight Caenorhabditis elegans spanning from birth to adulthood,Commentary on developmental C. elegans connectome maturation principles.,[],nanoscale_only,not_applicable,True,low_confidence
work_020e3982c01153ed,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,unresolved,1,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,An efficient 3D extraction and reconstruction method for myelinated axons of mouse cerebral cortex based on mixed intelligence,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,295cf6f32abacc9f6cb46fbeb16edc455d991f7a65edfa2ab7484222d8bd4678,batch_000,adjacent_relevant,['reconstruction_segmentation'],0.8,Accurate reconstruction of the 3D morphology and spatial distribution of myelinated axons in mouse brains,Mixed-intelligence myelinated axon reconstruction for mouse connectome; mesoscale not EM synaptic.,['mesoscale_only'],unclear,not_applicable,True,low_confidence
work_02580fc06dfe3e98,d27e3c0284b261d251c881155e780f1c939302c8,role_bridge,1,d27e3c0284b261d251c881155e780f1c939302c8,BigDataViewer: visualization and processing for large image data sets,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],unclear,not_applicable,True,uncertain_or_missing_abstract
work_025c5ef05489ba3c,c25bf596a3fb4466384c620e1d47b80a7447f517,core_audit,1,c25bf596a3fb4466384c620e1d47b80a7447f517,Diffusion MRI Connections in the Octopus Brain,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,ff48a19bf724205e174d4c5757a4b947fc24a1caf5625014f5cc795c00a7e8c3,batch_000,adjacent_relevant,['network_science'],0.82,map out a meso-scale connectome of the Octopus bimaculoides brain,dMRI mesoscale connectome of octopus; cites EM/tracing but study is tractography.,"['diffusion_mri_or_tractography', 'mesoscale_only']",macro_only,not_applicable,True,low_confidence
work_0278bad00a302fb7,72873f1a9faedf9f8825b30298d62d42ae2b0e64,core_audit,1,72873f1a9faedf9f8825b30298d62d42ae2b0e64,Cognitive synaptopathy: synaptic and dendritic spine dysfunction in age-related cognitive disorders,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,00796d4d2e80d176c8fc7d4032a44aa8a509a9a46eb2870ab7f995cd49c01836,batch_000,out_of_scope,[],0.88,abnormal connectomics at the level of local neuronal circuits and broader brain networks,Synaptopathy review with incidental connectomics mention.,"['ambiguous_connectome_usage', 'generic_health_context']",unclear,not_applicable,True,core_noise_audit
work_029643354bb1e658,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,core_audit,1,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,Untangling the cortico-thalamo-cortical loop: cellular pieces of a knotty circuit puzzle,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,dce384ff3ae986aabee6fdee24dff7dd0ff5f2b5a4df5afd97a73ca2cf08310a,batch_000,adjacent_relevant,['biological_application'],0.81,Recent work dissecting the synaptic connectivity in these loops is generating a clearer picture,Review of cortico-thalamo-cortical synaptic connectivity without connectome mapping.,[],unclear,not_applicable,True,low_confidence
work_02bef5f71001dccb,fb118b1e634b62ea08812bfb4769486f19fe75b8,unresolved,1,fb118b1e634b62ea08812bfb4769486f19fe75b8,Tau trajectory in Alzheimer's disease: Evidence from the connectome-based computational models.,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,9abce36773d7d1bb8ae590c8307748324b6212dfff8c73d88fd0a5c4c7b485dc,batch_000,adjacent_relevant,"['structure_function_modeling', 'health_translation']",0.8,"connectome-based computational models aids in early predicting, tracking the progression of biomarker-directed AD neuropathology",Review of macro connectome-based tau spread modeling in AD.,['generic_health_context'],multi_scale_bridging,not_applicable,True,low_confidence
work_02c20c311fe2787b,12b2608644ea83fa61c55574edbf036bcd124548,core_audit,1,12b2608644ea83fa61c55574edbf036bcd124548,Deep Reinforcement Learning for Neural Control,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,4a0fad92c7158e2ae900f4d5f579cb0cebfb06dd8b90ae6a9b6110233e55366f,batch_000,adjacent_relevant,['structure_function_modeling'],0.82,modulations of neural circuits architecture (connectome control),Deep RL control of simulated C. elegans connectome model.,[],nanoscale_only,not_applicable,True,low_confidence
work_02da51be986693aa,d130f2f812c037df4f166038a093dcc67ed13adf,core_audit,1,d130f2f812c037df4f166038a093dcc67ed13adf,PTEN Activity Defines an Axis for Plasticity at Cortico-Amygdala Synapses and Influences Social Behavior.,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,0a00a3b8668c0bc76534846460c976c7c3172c68380facbe9222a26d279b4b34,batch_000,adjacent_relevant,"['biological_application', 'synapse_inference']",0.8,assess synaptic and developmental mechanisms by which PTEN can modulate cognitive function,Mouse PTEN effects on cortico-amygdala synaptic connectivity; biology not connectome mapping.,[],unclear,not_applicable,True,low_confidence
work_03006500ac944fb3,c76944f8538b05711cabef7bd2cbb385c20522c0,unresolved,1,c76944f8538b05711cabef7bd2cbb385c20522c0,Caenorhabditis elegans Connectomes of both Sexes as Image Classifiers,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,6165b95365717fafedb92e3d39d919f90a058c4040de796fd3d95cb80aa777f6,batch_000,adjacent_relevant,['network_science'],0.78,Caenorhabditis elegans Connectomes of both Sexes as Image Classifiers,Uses C. elegans connectome topology as ML architecture; adjacent network-science application.,[],nanoscale_only,not_applicable,True,low_confidence
work_030369e8e6f67d08,dd0ac260397aa70f4956c68bd4e508b7d6ea1b70,core_audit,1,dd0ac260397aa70f4956c68bd4e508b7d6ea1b70,Inputs and Outputs of the Mammalian Circadian Clock,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,bd242a45abd7105a01f4c3a7348f1c7fcf93b242b3a675809db2a330ab5ff636,batch_000,uncertain,[],0.58,better understanding of the circadian connectome is essential,Circadian SCN circuit review with vague connectome framing.,['ambiguous_connectome_usage'],unclear,not_applicable,True,core_noise_audit
work_0308d268ca38e94f,9e3f2be4af4e1b9debd458b655bfc40aa2da4ddb,core_audit,1,9e3f2be4af4e1b9debd458b655bfc40aa2da4ddb,Intrinsic elaboration of prefrontal modularity: a dual-control model of axon bundling and synaptic docking,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,787be5ee19478119fc6a14aa1fa60b0acc24dedc483c067025fa7a10327b4e23,batch_000,adjacent_relevant,"['biological_application', 'structure_function_modeling']",0.79,recent advances in spatial transcriptomics and connectomics to delineate a model of intrinsic elaboration,PFC modularity review linking transcriptomics and connectomics concepts.,[],multi_scale_bridging,not_applicable,True,low_confidence
work_030d659739b83f09,464aa76bf0affe892b046dcdfad42a344b750fa0,role_bridge,1,464aa76bf0affe892b046dcdfad42a344b750fa0,Community detection in networks: A user guide,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,452a38bdaaa2f6d4187dbbdf3d985b42fd17a90ac2d1484523f5663b732ae860,batch_000,role_bridge,['network_science'],0.72,Community detection in networks is one of the most popular topics of modern network science,General network community detection guide; not connectomics-specific.,[],unclear,not_applicable,True,low_confidence
work_03367aebcb1d754d,40e3bcea424efa7f29be056329376c03ee3446c8,core_audit,1,40e3bcea424efa7f29be056329376c03ee3446c8,"Modeling and simulation of neocortical micro- and mesocircuitry (Part II, Physiology and experimentation)",agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,04a2b2e4b071e27abd7ca029fe6f44413a374bbd62b13e1497289c81a862f23c,batch_000,out_of_scope,[],0.9,"Large-scale, biophysically detailed models offer a tool which can complement laboratory approaches",Detailed cortical simulation without connectomics reconstruction pipeline.,['generic_network_neuroscience'],unclear,not_applicable,True,core_noise_audit
work_0344c5d0298b1c78,56b7a9559da3a7ae30c53aea73a129dee36cdc8d,unresolved,1,56b7a9559da3a7ae30c53aea73a129dee36cdc8d,Neural Interactome: Interactive Simulation of a Neuronal System,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,9c7c4163c8e1f84498fd8bd5a475d1531bf10569d975ae61ab7063a7e34480a6,batch_000,adjacent_relevant,['structure_function_modeling'],0.77,"Neural Interactome, to simultaneously visualize and interact with the structure and dynamics of such networks",Interactive neuronal network simulation/visualization framework.,[],unclear,not_applicable,True,low_confidence
work_036e22a15502fd7e,f99b40d02c18f5c1a24e564cb07687fbcb29376f,core_audit,1,f99b40d02c18f5c1a24e564cb07687fbcb29376f,Strip the Stripes: Artifact Detection and Removal for Scanning Electron Microscopy Imaging,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,222bffbf2483965f67dfe255aab62e7fd93a87ee4fabd106677320aa1c935b93,batch_000,adjacent_relevant,"['acquisition_preparation', 'reconstruction_segmentation']",0.84,Scanning Electron Microscopy (SEM) is a popular high resolution imaging modality for biological samples that has recently been applied to neural circuit reconstruction,SEM striping artifact correction for neural circuit EM imaging.,[],nanoscale_only,not_applicable,True,low_confidence
work_03af12da3a95c029,85201e8f9d6e24d78c70d310ed7e8c244fa007e7,core_audit,1,85201e8f9d6e24d78c70d310ed7e8c244fa007e7,Author response: Convergence of monosynaptic and polysynaptic sensory paths onto common motor outputs in a Drosophila feeding connectome,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],unclear,not_applicable,True,core_noise_audit
work_03b8b6340a7756de,061a875a9e8b751e5d229e5f8562ca0ce640762c,core_audit,1,061a875a9e8b751e5d229e5f8562ca0ce640762c,Analysis of segmentation ontology reveals the similarities and differences in connectivity onto L2/3 neurons in mouse V1,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,f7bba956fbbae2977023343e5a0cd52f2d93941e52fa714da214880153ab8ff9,batch_000,adjacent_relevant,['biological_application'],0.81,Quantitatively comparing brain-wide connectivity of different types of neuron,Mouse V1 long-range presynaptic connectivity from tracing/segmentation ontology.,['mesoscale_only'],unclear,not_applicable,True,low_confidence
work_03c23d6e53a2fa11,e00f9513a07d683917b64f7aa0dee2dc7ebecaa8,core_audit,1,e00f9513a07d683917b64f7aa0dee2dc7ebecaa8,All-optical visualization of specific molecules in the ultrastructural context of brain tissue,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,45e11bdc0156d898ec039a4f77f36eb63e0a1e3ace25ac26749e8a9b20e9e979,batch_000,adjacent_relevant,"['acquisition_preparation', 'alternative_modality']",0.83,"pan-Expansion Microscopy of tissue (pan-ExM-t), an all-optical mouse brain imaging method",Expansion microscopy with EM-like ultrastructural context for brain imaging.,[],nanoscale_only,not_applicable,True,low_confidence
work_03f019b1ea59c828,37087c34a4faa3b074c58cae6284c483e2992f44,core_audit,1,37087c34a4faa3b074c58cae6284c483e2992f44,The 3D ultrastructure of the chordotonal organs in the antenna of a microwasp remains complex although simplified,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,984f620ac2b28ad0fcbfc20e0a65bf95fd65b162ae4b50e0c68f00c04f0fa304,batch_000,adjacent_relevant,"['acquisition_preparation', 'biological_application']",0.8,comprehensive study of the structure and scaling of the antennal chordotonal organs based on 3D electron microscopy,"3D EM ultrastructure of insect sensory organs, not wiring connectome.",[],nanoscale_only,not_applicable,True,low_confidence
