work_id,doi,title,year,era,time_role,in_degree,out_degree,k_core,year_cites_percentile,cites,in_core,decision,datasets,stages,organism,axis,method,abstract_missing,tag_source,why,in_global_core,stratum_champion_cells,added_for_coverage
work_06a819921125fd5b,10.1101/141762,The complete connectome of a learning and memory centre in an insect brain,2017,2016–2017,history,36,3,13,95,480,1,core_relevant,DS03 Drosophila larva,graph_analysis,fly,pipeline_stage,,false,dryrun+dataset_organism+stages,history_milestone,yes,,
work_087e18b9051261d3,10.1038/nature12450,A visual motion detection circuit suggested by Drosophila connectomics,2013,2010–2015,history,157,5,13,94,695,1,core_relevant,,,fly,biological_application,electron microscopy,false,title_abstract_organism+title_axis+title_abstract,history_milestone,yes,axis:biological_application|2010–2015;organism:fly|2010–2015,
work_0c32ed27e86551f0,10.1101/2020.01.21.911859,A Connectome of the Adult Drosophila Central Brain,2020,2020–2021,history,15,12,13,94,178,1,core_relevant,DS05 hemibrain,segmentation;proofreading,fly,pipeline_stage,,false,dryrun+dataset_organism+stages,history_milestone,yes,,
work_0c62223b980049c1,10.1101/2020.08.29.273276,The connectome of the adult Drosophila mushroom body: implications for function,2020,2020–2021,history,7,14,13,66,31,1,core_relevant,,,fly,biological_application,,false,title_abstract_organism+title_axis,history_milestone,yes,,
work_0da43b963c6e7486,10.1101/2020.01.16.909465,neuPrint: Analysis Tools for EM Connectomics,2020,2020–2021,history,26,11,13,84,73,1,core_relevant,,infrastructure;graph_analysis,fly,pipeline_stage,neuPrint;electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,method:neuPrint|2020–2021,
work_0e82b896b4b49d23,10.1101/2023.09.15.557808,Driver lines for studying associative learning in Drosophila,2024,2024,sota,3,18,13,80,16,1,adjacent_relevant,,,fly,,confocal;electron microscopy,false,title_abstract_organism+title_abstract,sota_2024_out_and_in,yes,method:confocal|2024,
work_0fec0014dc0379d0,10.1038/s41586-024-07780-8,Inhibitory specificity from a connectomic census of mouse visual cortex,2025,2025,sota,18,23,13,99,61,1,core_relevant,,segmentation;graph_analysis,mouse,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,sota_2025_out_and_in,yes,,
work_13a5924450d152cf,10.1101/2023.10.25.562730,Hierarchical communities in the larval Drosophila connectome: Links to cellular annotations and network topology,2024,2024,sota,11,13,13,85,20,1,core_relevant,DS03 Drosophila larva,proofreading;graph_analysis,fly,pipeline_stage,,false,dryrun+dataset_organism+stages,sota_2024_out_and_in,yes,dataset:DS03 Drosophila larva|2024,
work_15832f977411772d,10.7554/elife.73783,Structure and function of axo-axonic inhibition,2021,2020–2021,history,10,18,13,89,59,1,core_relevant,,modeling,mouse,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,,
work_1abefbc844f53786,10.21203/rs.3.rs-3121892/v1,Multiplexed volumetric CLEM enabled by antibody derivatives provides new insights into the cytology of the mouse cerebellar cortex,2023,2022–2023,history,0,21,13,35,4,1,core_relevant,,sectioning,mouse,pipeline_stage,serial-section EM;CLEM;confocal,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,,
work_1afd0f5b17737035,10.1038/nmeth.2451,From the connectome to brain function,2013,2010–2015,history,34,2,13,90,567,1,adjacent_relevant,DS09/DS10 mouse retina,,mouse,registry_dataset,,false,dryrun+dataset_organism+datasets,history_milestone,yes,axis:registry_dataset|2010–2015,
work_1d87c152cf48058c,10.7554/elife.25916,Enhanced FIB-SEM systems for large-volume 3D imaging,2017,2016–2017,history,61,10,13,93,364,1,core_relevant,,sectioning;acquisition;alignment;proofreading,fly,pipeline_stage,Enhanced long-run FIB-SEM;FIB-SEM,false,dryrun+title_abstract_organism+stages+registry+title_abstract,history_milestone,yes,stage:alignment|2016–2017;method:Enhanced long-run FIB-SEM|2016–2017;method:FIB-SEM|2016–2017,
work_1f27324e7bc99178,10.1101/2020.03.09.984013,Combined membrane potential imaging and connectome of behavioral circuits in an annelid worm,2020,2020–2021,history,0,22,13,4,0,1,core_relevant,DS22 Platynereis,preparation;sectioning;segmentation;synapses,mouse,pipeline_stage,SBF-SEM,false,dryrun+title_abstract_organism_overrides_dryrun+stages+title_abstract,history_milestone,yes,,
work_1f5bc11fd70f625f,10.1126/science.adk4858,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,2024,sota,79,22,13,100,295,1,core_relevant,DS13 MICrONS;DS14 H01 human cortex,sectioning;segmentation;proofreading;infrastructure,mouse;human,pipeline_stage,serial-section EM,false,dryrun+dataset_organism+stages+title_abstract,sota_2024_out_and_in,yes,stage:sectioning|2024;stage:segmentation|2024;organism:human|2024;dataset:DS13 MICrONS|2024;dataset:DS14 H01 human cortex|2024;method:serial-section EM|2024,
work_20e028bfe929110a,10.1016/j.conb.2019.03.012,"Big data in nanoscale connectomics, and the greed for training labels.",2019,2018–2019,history,9,13,13,59,26,1,core_relevant,,,,,electron microscopy,false,title_abstract,history_milestone,yes,axis:untagged|2018–2019,
work_21c10d8f3b695a0c,10.1371/journal.pbio.0020329,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,2004,pre-2005,history,50,0,13,85,1627,1,core_relevant,,preparation;sectioning;acquisition,,pipeline_stage,SBF-SEM;serial-section EM,false,dryrun+stages+registry+title_abstract,history_milestone,yes,stage:preparation|pre-2005;stage:acquisition|pre-2005;method:SBF-SEM|pre-2005,
work_226671ea5a46bda3,10.1038/s41586-024-07982-0,The fly connectome reveals a path to the effectome,2024,2024,sota,10,14,13,92,36,1,core_relevant,,modeling,,pipeline_stage,,false,dryrun+stages,sota_2024_out_and_in,yes,,
work_233d52315fe236ff,10.1523/jneurosci.3784-12.2013,The Rich Club of the C. elegans Neuronal Connectome,2013,2010–2015,history,74,3,13,86,330,1,core_relevant,DS01 C. elegans (White+),graph_analysis,elegans,pipeline_stage,,false,dryrun+dataset_organism+stages,history_milestone,yes,,
work_241b54c819ff405b,10.1038/s41592-021-01330-0,FlyWire: Online community for whole-brain connectomics,2020,2020–2021,history,107,27,13,97,242,1,core_relevant,DS06 FlyWire,acquisition;segmentation;proofreading;infrastructure;graph_analysis,fly,pipeline_stage,FlyWire;electron microscopy,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,stage:acquisition|2020–2021;stage:segmentation|2020–2021;stage:infrastructure|2020–2021;organism:fly|2020–2021;dataset:DS06 FlyWire|2020–2021;method:FlyWire|2020–2021,
work_2521d618f4568e57,10.1101/2020.12.11.422105,The connectome predicts resting state functional connectivity across the Drosophila brain,2020,2020–2021,history,10,16,13,67,33,1,core_relevant,,graph_analysis,fly,pipeline_stage,,false,dryrun+title_abstract_organism+stages,history_milestone,yes,,
work_2b7e525a9a17d163,10.1101/2023.03.15.532611,The structure and function of neural connectomes are shaped by a small number of design principles,2023,2022–2023,history,3,12,13,65,11,1,core_relevant,DS01 C. elegans (White+);DS15 zebrafish,infrastructure;graph_analysis;modeling,elegans;zebrafish,pipeline_stage,Network motifs,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,,
work_2c23ff2f9ed14485,10.1038/s41592-023-02059-8,Multi-layered maps of neuropil with segmentation-guided contrastive learning,2022,2022–2023,history,11,11,13,78,32,1,core_relevant,,segmentation;proofreading;synapses,mouse,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,,
work_2c6fe44c1be1c300,10.1038/nmeth.2476,Cellular-resolution connectomics: challenges of dense neural circuit reconstruction,2013,2010–2015,history,74,1,13,84,305,1,adjacent_relevant,,acquisition;proofreading;graph_analysis,,pipeline_stage,volume EM,false,dryrun+stages+title_abstract,history_milestone,yes,stage:acquisition|2010–2015,
work_2f968b5df6b0dd3d,10.1126/science.add9330,The connectome of an insect brain,2022,2022–2023,history,49,21,13,100,359,1,core_relevant,DS03 Drosophila larva,graph_analysis,fly,pipeline_stage,,false,dryrun+dataset_organism+stages,history_milestone,yes,axis:pipeline_stage|2022–2023;stage:graph_analysis|2022–2023;organism:fly|2022–2023;dataset:DS03 Drosophila larva|2022–2023,
work_31d1fee6f2ffabfe,10.7554/elife.62576,The connectome of the adult Drosophila mushroom body provides insights into function,2020,2020–2021,history,62,16,13,98,289,1,core_relevant,,,fly,biological_application,,false,title_abstract_organism+title_axis,history_milestone,yes,axis:biological_application|2020–2021,
work_39c260e37ed45039,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans,1986,pre-2005,history,135,0,13,100,5857,1,core_relevant,DS01 C. elegans (White+),sectioning;graph_analysis,elegans,pipeline_stage,serial-section EM,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,axis:pipeline_stage|pre-2005;stage:sectioning|pre-2005;stage:graph_analysis|pre-2005;organism:elegans|pre-2005;dataset:DS01 C. elegans (White+)|pre-2005;method:serial-section EM|pre-2005,
work_3cf844f488b27a48,10.1038/nature09818,Wiring specificity in the direction-selectivity circuit of the retina,2011,2010–2015,history,50,0,13,95,833,1,core_relevant,DS09/DS10 mouse retina,sectioning;acquisition,mouse,pipeline_stage,SBF-SEM;two-photon,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,,
work_3cfb4552d0463ce3,10.1101/2021.05.29.446289,A connectomic study of a petascale fragment of human cerebral cortex,2021,2020–2021,history,72,21,13,97,217,1,core_relevant,DS13 MICrONS;DS14 H01 human cortex,preparation;acquisition;segmentation;proofreading;synapses,mouse;human,pipeline_stage,Multibeam SEM,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,stage:synapses|2020–2021;stage:preparation|2020–2021;organism:human|2020–2021;dataset:DS13 MICrONS|2020–2021;dataset:DS14 H01 human cortex|2020–2021;method:Multibeam SEM|2020–2021,
work_434673087d1709d7,10.7554/elife.26975,A connectome of a learning and memory center in the adult Drosophila brain,2017,2016–2017,history,70,6,13,92,353,1,core_relevant,,sectioning;acquisition;infrastructure,fly,pipeline_stage,SEM,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,stage:sectioning|2016–2017;stage:acquisition|2016–2017;method:SEM|2016–2017,
