work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,scale_relationship,core_gate,human_review_priority,human_review_reason
work_0001c442a520339a,d2dddce8d2119de2f515efa9921dc7c01a985d2d,unresolved,1,d2dddce8d2119de2f515efa9921dc7c01a985d2d,Baseline biomarkers of connectome disruption and atrophy predict future processing speed in early multiple sclerosis,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,949c581f2b4245c15098e5f657a0ff532a3b3fc9378fe20a328edf415f438698,batch_000,out_of_scope,[],0.94,baseline pattern of connectome disruption due to T2-FLAIR lesions,MS lesion-based macro connectome modeling without nanoscale/EM link.,['ambiguous_connectome_usage'],macro_only,not_applicable,True,random_high_confidence_exclusion_audit
work_00089fd941984712,1189a587d37f99a2bba69e15f4cb8110aabc4149,unresolved,1,1189a587d37f99a2bba69e15f4cb8110aabc4149,Semi-Metric Topology of the Human Connectome: Sensitivity and Specificity to Autism and Major Depressive Disorder,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,02bbc11f14b564f45566226dd0b56fdb054cf37d451d68f1c2240faf7faeee5e,batch_000,out_of_scope,[],0.96,human functional connectome is a graphical representation of BOLD time-series measured by MRI,Resting-state fMRI functional connectome semi-metric analysis.,['resting_state_or_functional_connectivity'],macro_only,not_applicable,False,
work_000e65dd7ca70fca,61edbfd4025d239f16470e59260ce11d650dd76e,unresolved,1,61edbfd4025d239f16470e59260ce11d650dd76e,"Harmonizing 10,000 connectomes: site-invariant representation learning for multi-site analysis of network connectivity and cognitive impairment",agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,ce7d8c6af8c3748038338380fabc8e6b5aa68b694b1d41a64f2d6ebd66133bbf,batch_000,out_of_scope,[],0.95,diffusion magnetic resonance imaging data are often acquired with different hardware,Multi-site dMRI harmonization for macro connectomics; no nanoscale link.,['diffusion_mri_or_tractography'],macro_only,not_applicable,False,
work_001454df91336514,a9711483c91489ffd7cebb5cd9370694ed92544a,core_audit,1,a9711483c91489ffd7cebb5cd9370694ed92544a,Role of neural activity during synaptogenesis in Drosophila,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,9bc11ccacaae039acac07b0d82ae0111cc97434290601a84375030a1e415c6db,batch_000,adjacent_relevant,['biological_application'],0.82,Reducing neural activity genetically or pharmacologically disrupts the normally precise embryonic and larval neuromuscular connections,"Drosophila synaptic connectivity regulation during development, not wiring-graph reconstruction.",[],unclear,not_applicable,True,low_confidence
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,1,c61c2773d3519d785b2e0476fa3521a2179d30fd,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,5ef3000eabfc20b5e3e44f0fd06a5ae1ccac2ec7ead76becf6f71aae2144e179,batch_000,adjacent_relevant,"['structure_function_modeling', 'biological_application']",0.8,Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex,Theory on EM synaptic connectivity and brainwaves; no connectome mapping.,[],nanoscale_only,not_applicable,True,low_confidence
work_001c0f01391e19c4,8f5905570bdf6035df2344ecb4b3486088afbfaa,role_bridge,1,8f5905570bdf6035df2344ecb4b3486088afbfaa,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,7bd59fc027f52eecdb99087942f3f95748681640cbe99798ce8fa392098dd42a,batch_000,core_relevant,"['acquisition_preparation', 'synapse_inference']",0.93,"FIB-SEM, a three-dimensional electron microscopy technique, to calculate the actual numbers of synapses",EM-based synapse quantification in hippocampus with genetic labeling.,[],nanoscale_only,em_or_synaptic_reconstruction,False,
work_0061e496fde63c76,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,unresolved,1,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,NEUROIMAGING AND CONNECTOMICS OF DRUG-RESISTANT EPILEPSY AT MULTIPLE SCALES: FROM FOCAL LESIONS TO MACROSCALE NETWORKS,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,a00624c938e459b798fc57ea04250e6594a7268ce0e9f858ba89d1a5f33644b0,batch_000,out_of_scope,[],0.92,NEUROIMAGING AND CONNECTOMICS OF DRUG-RESISTANT EPILEPSY AT MULTIPLE SCALES,Clinical MRI/network review of focal epilepsy without nanoscale connectomics.,"['diffusion_mri_or_tractography', 'generic_health_context']",macro_only,not_applicable,True,random_high_confidence_exclusion_audit
work_006f5173328de364,2245d1e4df82d2f0fd9b6c98e93543dfb6a601e8,unresolved,1,2245d1e4df82d2f0fd9b6c98e93543dfb6a601e8,Using connectome-based predictive modeling to predict individual behavior from brain connectivity,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,b6a930de239ba57aba6ecbf2814dba96b569cc8f34e2698a55c9127f1f1a43a0,batch_000,out_of_scope,[],0.95,develop linear models to predict individual behavior from brain connectivity data,Neuroimaging CPM protocol for macro connectivity prediction.,['resting_state_or_functional_connectivity'],macro_only,not_applicable,False,
work_007a21bf306095ee,d0ce113a8440bf125349e51542005fbc46c20ccd,role_bridge,1,d0ce113a8440bf125349e51542005fbc46c20ccd,Genome Annotation and Analysis,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],unclear,not_applicable,True,uncertain_or_missing_abstract
work_007bc0362b8a3d88,cdcee67b431d106d7083a6730ab5fcd43c3cb51b,unresolved,1,cdcee67b431d106d7083a6730ab5fcd43c3cb51b,Structural Covariance Networks in Post-Traumatic Stress Disorder: A Multisite ENIGMA-PGC Study,agent:cursor/claude-opus-5-thinking@2026-08-24,IA-007-v3-work-level,agent_offline,46260a6f5b5c95ddb4d79bedebd1863849896a3521f4359971934fc7e0b74408,batch_000,out_of_scope,[],0.94,Structural covariance networks (SCN) constructed from CT and SA,Macro structural covariance networks in PTSD from MRI morphometry.,['generic_health_context'],macro_only,not_applicable,False,
