work_id,year,stage_tags,title
work_0128137052dec3e0,2026.0,,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice
work_01a98f721c115b3c,2015.0,graph_analysis,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells
work_02bef5f71001dccb,2023.0,graph_analysis;modeling,Tau trajectory in Alzheimer's disease: Evidence from the connectome-based computational models.
work_02da51be986693aa,2019.0,graph_analysis,PTEN Activity Defines an Axis for Plasticity at Cortico-Amygdala Synapses and Influences Social Behavior.
work_0308d268ca38e94f,2026.0,graph_analysis;infrastructure,Intrinsic elaboration of prefrontal modularity: a dual-control model of axon bundling and synaptic docking
work_03f019b1ea59c828,2022.0,,The 3D ultrastructure of the chordotonal organs in the antenna of a microwasp remains complex although simplified
work_03f185e6c6909898,2025.0,graph_analysis;infrastructure,"Integrative analysis of single-neuron projectomes links connectome, transcriptome, and function in the mouse cortex."
work_047847ced0c96ed0,2019.0,graph_analysis,The head direction circuit of two insect species
work_068034b20857f28d,2023.0,,Shallow networks run deep: Peripheral preprocessing facilitates odor classification
work_06fed2e30ee196ac,2013.0,,The connectomics challenge.
work_07aa0164f902c8fb,2019.0,graph_analysis,Cell type composition and circuit organization of neocortical radial clones
work_07cf5b18e1597373,2026.0,modeling,Spine-neck electrical bottlenecks tune temporal precision and inhibitory gating in cortical pyramidal neurons: A connectomics-base
work_08f274f7f7744af5,2025.0,graph_analysis,Synaptic loss pattern is constrained by brain connectome and modulated by phosphorylated tau in Alzheimer’s disease
work_0b3368a59ac0d45c,2016.0,infrastructure,Application of the radial distribution functions for quantitative analysis of neuropil microstructure in stratum radiatum of CA1 r
work_0bb5111744eb309f,2026.0,graph_analysis,Photomapping electrically coupled networks of the mature thalamus and cortex
work_0d8d0f74d4acd55d,2022.0,,A theory of learning with constrained weight-distribution
work_0dc9ade7576f1fda,2016.0,,Connectome Networks: From Cells to Systems
work_0f210c53d8261375,2020.0,graph_analysis;modeling,Multiscale comparative connectomics
work_0f2e576ce4d24d6a,2026.0,graph_analysis,Mapping Connectomic Structure to Function(s) in Cerebellar-like Networks using Kernel Regression
work_10625a8cbeb96224,2012.0,modeling,Visualization in Connectomics
work_11bd92b465e2aaf3,2025.0,graph_analysis,Rocket-crane algorithm for the Feedback Arc Set problem
work_122af998e627d537,2018.0,,Multimodal Connectomics in Psychiatry: Bridging Scales From Micro to Macro.
work_1425f3d37ad68edc,2024.0,,High-throughput mapping of single-neuron projection and molecular features by retrograde barcoded labeling
work_15ac2c50e04c11f3,2018.0,graph_analysis,When tractography meets tracer injections: a systematic study of trends and variation sources of diffusion-based connectivity
work_164ab99ff38576f9,2021.0,,Comparative connectomics of the primate social brain
work_1667817033df6601,2018.0,,Novel insights into the spatial and temporal complexity of hypothalamic organization through precision methods allowing nanoscale 
work_16c36532bd417889,2014.0,modeling,Axonal and dendritic density field estimation from incomplete single-slice neuronal reconstructions
work_17a397689c02868a,2022.0,graph_analysis;modeling,Differences in the critical dynamics underlying the human and fruit-fly connectome
work_17aff448044a0745,2014.0,graph_analysis,Connexel visualization: a software implementation of glyphs and edge-bundling for dense connectivity data using brainGL
work_1865ce7d1dd17a8d,2021.0,graph_analysis,A Brief History of Wires in the Brain
work_19ff016fd83b93ac,2015.0,infrastructure,Effects of homeostatic constraints on associative memory storage and synaptic connectivity of cortical circuits
work_1b42023217df315c,2025.0,graph_analysis;infrastructure,Connectomics: Mapping the Brain's Complex Networks
work_1b446a5a091f94da,2022.0,graph_analysis,Alzheimer’s disease rewires gene coexpression networks coupling different brain regions
work_1b7d3ac1442704d3,2026.0,graph_analysis;infrastructure,Whole-neuron morphology and genetic identity define cell types and reveal principles of brain-wide connectivity.
work_1c3c5fd2357f6e90,2022.0,,Unraveling Functional Diversity of Cortical Synaptic Architecture Through the Lens of Population Coding
work_1c447d78a514ecfa,2018.0,graph_analysis;modeling,Matched Filters for Noisy Induced Subgraph Detection
work_1c84d680f7b87889,2022.0,,Visualizing synaptic dopamine efflux with a 2D composite nanofilm
work_1e2e923eebdef150,2023.0,,Phospholipid scramblase Xkr8 is required for developmental axon pruning via phosphatidylserine exposure
work_1eee1624223a684e,2024.0,infrastructure,Intracellular magnesium optimizes transmission efficiency and plasticity of hippocampal synapses by reconfiguring their connectivi
work_20ff525d6c1a00df,2024.0,,Transient Impairment in Microglial Function Causes Sex-Specific Deficits in Synaptic and Hippocampal Function in Mice Exposed to E
work_213bd181973034b5,2020.0,graph_analysis;modeling,Creative destruction: Sparse activity emerges on the mammal connectome under a simulated communication strategy with collisions an
work_21faf952fda7708d,2021.0,graph_analysis;infrastructure;modeling,Progress towards a cellularly resolved mouse mesoconnectome is empowered by data fusion and new neuroanatomy techniques.
work_2241b9b401acc9e2,2014.0,,The Big Data Problem: Turning Maps into Knowledge
work_24591202ea00f970,2026.0,modeling,From Connectome to Cognition: Building the First Digital Organism
work_27e88a0ccdbba06d,2023.0,graph_analysis,A hierarchy index for networks in the brain reveals a complex entangled organizational structure
work_2907fb4fa059c6fc,2014.0,,Impaired activity-dependent neural circuit assembly and refinement in autism spectrum disorder genetic models
work_2b21fd53a734b207,2025.0,graph_analysis,Integrated Classification of Cortical Cells and Quantitative Projectomic Mapping Unveil Organizational Principles of Brain-Wide Co
work_2f409874ec73fe00,2013.0,graph_analysis;infrastructure,Toward the Drosophila connectome: structural analysis of the brain network
work_34eca68ee456ee93,2020.0,graph_analysis,"Explosive, continuous and frustrated synchronization transition in spiking Hodgkin–Huxley neural networks: The role of topology an"
work_3a04d60d1153548a,2019.0,graph_analysis,Single‐neuron axonal reconstruction: The search for a wiring diagram of the brain
work_3f1826f13366209a,2026.0,infrastructure,Toward a foundational brain model of intelligence.
work_404e1398f29ac566,2026.0,graph_analysis;infrastructure,Multiple coexisting pathways to synchronization shape seizure dynamics in a mesoscale mouse brain model
work_4056ab75c914db70,2013.0,graph_analysis,Vertex nomination schemes for membership prediction
work_424344120bcd28bd,2025.0,,Distinguish risk genes functioning at presynaptic or postsynaptic regions and key connectomes associated with pathological α-synuc
work_43b7faaf8820340a,2025.0,graph_analysis;infrastructure,Symmetries of Living Systems: Symmetry Fibrations and Synchronization in Biological Networks
work_44b42b742b2087f0,2023.0,graph_analysis,Predicting distributed working memory activity in a large-scale mouse brain: the importance of the cell type-specific connectome
work_452c63f080d3a726,2013.0,,Connectomics: The dense reconstruction of neuronal circuits using volume electron microscopy
work_4705ee19f49ae2b4,2022.0,,A global timing mechanism regulates cell-type-specific wiring programmes
work_473c2b2f7d586069,2015.0,graph_analysis;modeling,Cerebral cartography and connectomics
work_47a95169180f7b39,2019.0,modeling,Inference of synaptic connectivity and external variability in neural microcircuits
work_4a3e75dfbab9096e,2026.0,,Adult Clock Neuron Somatic Neuropeptide Release and Cytonemes Regulate Sleep
work_4b3bfeede41c04c0,2016.0,,Super-Resolution Mapping of Neuronal Circuitry With an Index-Optimized Clearing Agent.
work_4c9a911feecbe13c,2025.0,,Enriched experience increases reciprocal synaptic connectivity and coding sparsity in higher-order cortex
work_4cb5df5727006bd0,2017.0,graph_analysis;infrastructure,Digital tissue and what it may reveal about the brain
work_4ced3a721c9acbc2,2026.0,graph_analysis;infrastructure;modeling,Neuromodulation supports robust rhythmic pattern transitions in degenerate central pattern generators with fixed connectivity
work_4de777fd03b81fa4,2024.0,graph_analysis,An algorithm for identifying task-specific brain subnetworks using the visuomotor system as an example
work_4f78bbf96074b734,2025.0,,Gradients of Cell Recognition Molecules Wire Visuomotor Transformation
work_502f3fcda5afe2ef,2023.0,graph_analysis;infrastructure,Exercise alters cortico-basal ganglia network functional connectivity: A mesoscopic level analysis informed by anatomic parcellati
work_5068984fac4abafd,2019.0,,DNA sequencing in high-throughput neuroanatomy.
work_5092343a6dff0855,2024.0,graph_analysis,Markov Processes and Brain Network Hubs
work_50d4ca5184367aa3,2017.0,graph_analysis,Q&A: Why use synchrotron x-ray tomography for multi-scale connectome mapping?
work_51c880b1d507bd3d,2021.0,infrastructure,The effects of microglia on tauopathy progression can be quantified using Nexopathy in silico (Nexis) models
work_529425ff530a893f,2014.0,graph_analysis,Structured Connectivity in Cerebellar Inhibitory Networks
work_52b939fbc87f459e,2025.0,graph_analysis,Fluctuation-dissipation of the Kuramoto model on fruit-fly connectomes
work_52ec108909a440ab,2025.0,graph_analysis;modeling,Brain volume predicts survival of colliding-spreading messages on mammal brain networks
work_530500d5198cf600,2024.0,graph_analysis,Structural changes shaping the Drosophila ellipsoid body ER-neurons during development and aging.
work_53a975ca4457a801,2016.0,,Insulin-like Growth Factor 1 for Healthy Spines and Healthy Minds?
work_541335ae5cacedf3,2018.0,graph_analysis,Sizing complex networks
work_55afa73b6c08e935,2019.0,infrastructure,Ultrastructural Changes in Brain Stem Pathways in a Patient with Ataxia Associated with SPG7 Mutations (P1.8-006)
work_582e1c76adbb758d,2021.0,,Excess interictal activity marks seizure prone cortical areas and mice in a genetic epilepsy model
work_58a01d3dacde814f,2024.0,,Experience-Dependent Remodeling of Juvenile Brain Olfactory Sensory Neuron Synaptic Connectivity in an Early-Life Critical Period
work_593e9ed3ab744e30,2020.0,graph_analysis,Axo-axonic Synapses: Diversity in Neural Circuit Function
work_59c99b603e8a4641,2015.0,,Connectome of the fly visual circuitry.
work_59e0aae4c48bf275,2026.0,infrastructure,Overcoming Perfusion Impairment in the Ischemic Brain: A Review
work_5a217fc9180eb033,2023.0,graph_analysis,Long-range connectome of pyramidal neurons in the sensorimotor cortex
work_5cc273635dda9bdd,2018.0,,A regularity index for dendrites - local statistics of a neuron's input space
work_5e8c3be0c96f3f97,2026.0,infrastructure,A Physics-Inspired Neural Network Framework for Nanoscale Biological Slice Thickness Measurement
work_5eac4903bf9cd936,2020.0,,"NIMG-13. GENETIC, CELLULAR, AND CONNECTOMIC CHARACTERIZATION OF THE ADULT HUMAN BRAIN REGIONS COMMONLY PLAGUED BY GLIOMA"
work_603f7f3189279d00,2021.0,,Avian pallial circuits and cognition: A comparison to mammals.
work_6194ff64e893458d,2020.0,,Synaptic diversity naturally arises from neural decoding of heterogeneous populations
work_6212be61070586b3,2012.0,graph_analysis,From functional architecture to functional connectomics
work_632600d5b9961b96,2025.0,graph_analysis,Neural Networks of the Mouse Primary Visceromotor Cortex
work_63ac75098fea704e,2022.0,graph_analysis,The mouse claustrum synaptically connects cortical network motifs
work_641578dd51d3aa3a,2020.0,graph_analysis;modeling,Graph Signal Processing of Indefinite and Complex Graphs using Directed Variation
work_6779fed0fab266f1,2026.0,graph_analysis;infrastructure;modeling,Topological Sensitivity in Connectome-Constrained Neural Networks
