work_id,title,decision,n_authors,consortium_middle_count
work_6f86d20c9bf6e84d,Whole-brain annotation and multi-connectome cell typing of Drosophila,core_relevant,304,302
work_7773a3cd24b3497d,A connectome and analysis of the adult Drosophila central brain,core_relevant,115,113
work_cbfb9642f5950bcf,Sexual dimorphism in the complete connectome of the Drosophila male central nervous system,core_relevant,111,109
work_0c32ed27e86551f0,A Connectome of the Adult Drosophila Central Brain,core_relevant,105,103
work_00d72fd3c4223cd5,Distributed control circuits across a brain-and-cord connectome.,core_relevant,100,98
work_542d289b1df8abc6,A Connectome of the Male Drosophila Ventral Nerve Cord,core_relevant,84,82
work_08619b07a36cc83e,A split-GAL4 driver line resource for Drosophila neuron types,adjacent_relevant,83,81
work_ee5b7f908c56d881,Functional connectomics spanning multiple areas of mouse visual cortex,core_relevant,75,73
work_a821a1b9fb48df72,The Developing Human Connectome Project Neonatal Data Release,role_bridge,74,72
work_b6f9d48dfa37f399,Connectome-driven neural inventory of a complete visual system,core_relevant,71,69
work_544c5eb927deccab,A connectomic resource for neural cataloguing and circuit dissection of the larval zebrafish brain,core_relevant,70,68
work_9b32917a4d853259,2015 Brainhack Proceedings,role_bridge,70,68
work_37de4cdb46f24752,The mouse cortico–basal ganglia–thalamic network,adjacent_relevant,66,64
work_f5fd3ba3b38fed1d,NEURD offers automated proofreading and feature extraction for connectomics,core_relevant,58,56
work_d83cba345d7415bb,Functional connectomics reveals general wiring rule in mouse visual cortex,core_relevant,56,54
work_0ac82de3efe180e8,Connectomics of predicted Sst transcriptomic types in mouse visual cortex,core_relevant,51,49
work_1f5d00869279e1e0,A whole-brain monosynaptic input connectome to neuron classes in mouse visual cortex,adjacent_relevant,51,49
work_36cfd0a40b9962e3,Integrating EM and Patch-seq data: Synaptic connectivity and target specificity of predicted Sst transcriptomic types,core_relevant,50,48
work_55a31c8884d2dba2,Cell-type-specific inhibitory circuitry from a connectomic census of mouse visual cortex,core_relevant,47,45
work_f8b43696a85f2146,Perisomatic Features Enable Efficient and Dataset Wide Cell-Type Classifications Across Large-Scale Electron Microscopy Volumes,core_relevant,47,45
work_be3603a175b093a4,Petascale neural circuit reconstruction: automated methods,core_relevant,46,44
work_86ba4bfd64350171,Neuronal wiring diagram of an adult brain,core_relevant,46,44
work_1b7d3ac1442704d3,Whole-neuron morphology and genetic identity define cell types and reveal principles of brain-wide connectivity.,adjacent_relevant,46,44
work_2b21fd53a734b207,Integrated Classification of Cortical Cells and Quantitative Projectomic Mapping Unveil Organizational Principles of Brain-Wide Connectomes at Single Cell Level,adjacent_relevant,45,43
work_c2eef6c0fa61c287,Brain-wide neuronal circuit connectome of human glioblastoma,adjacent_relevant,43,41
work_69a812a079debc62,CAVE: Connectome Annotation Versioning Engine,core_relevant,42,40
work_cdc13855d8ed503c,Whole-brain spatial organization of hippocampal single-neuron projectomes,adjacent_relevant,42,40
work_0fec0014dc0379d0,Inhibitory specificity from a connectomic census of mouse visual cortex,core_relevant,41,39
work_241b54c819ff405b,FlyWire: Online community for whole-brain connectomics,core_relevant,40,38
work_15832f977411772d,Structure and function of axo-axonic inhibition,core_relevant,40,38
work_632600d5b9961b96,Neural Networks of the Mouse Primary Visceromotor Cortex,adjacent_relevant,39,37
work_3f33a09c75f65755,Perisomatic ultrastructure efficiently classifies cells in mouse cortex,core_relevant,38,36
work_d8e0189ccce2bc1e,Nervous system-wide single-cell morphology atlas of excitatory and inhibitory neurons in larval zebrafish,adjacent_relevant,37,35
work_e2f25ee5bf2bee47,Comparative connectomics of Drosophila descending and ascending neurons,adjacent_relevant,37,35
work_68c16753f9b50e6c,Comparative connectomics of the descending and ascending neurons of the Drosophila nervous system: stereotypy and sexual dimorphism,core_relevant,36,34
work_f957eea0477c4e04,Connectomic reconstruction of a female Drosophila ventral nerve cord,core_relevant,35,33
work_9487955aca364a01,A mesoscale connectome of the mouse brain,adjacent_relevant,34,32
work_5a5bf6e6db192920,A consensus cell type atlas from multiple connectomes reveals principles of circuit stereotypy and variation,core_relevant,33,31
work_28f6b028bce5063b,Synaptic architecture of leg and wing premotor control networks in Drosophila,core_relevant,33,31
work_1f5bc11fd70f625f,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,core_relevant,31,29
work_c5aa0e100cacef51,Visual physiology of the layer 4 cortical circuit in silico,adjacent_relevant,30,28
work_ffa35f4fc20ab175,Hierarchical X-ray microscopy and mesoscopic diffusion MRI in the same brain reveal the human connectome across scales,adjacent_relevant,30,28
work_a7ac590f096a331d,"Reconstruction of 1,000 projection neurons reveals new cell types and organization of long-range connectivity in the mouse brain",adjacent_relevant,30,28
work_3cfb4552d0463ce3,A connectomic study of a petascale fragment of human cerebral cortex,core_relevant,29,27
work_ceb66b1db1935fdb,Predicting modular functions and neural coding of behavior from a synaptic wiring diagram,core_relevant,28,26
work_bf26c692403dc5e3,Synaptic architecture of a memory engram in the mouse hippocampus,core_relevant,28,26
work_434673087d1709d7,A connectome of a learning and memory center in the adult Drosophila brain,core_relevant,28,26
work_397f26a63b62d9c9,Eyewire II – A connectomic resource for resolving cell types and circuits of the mouse retina,core_relevant,27,25
work_4aacd75f73cf971f,Correlative light and electron microscopy reveals the fine circuit structure underlying evidence accumulation in larval zebrafish,core_relevant,27,25
work_16b9df3949da837d,A leaky integrate-and-fire computational model based on the connectome of the entire adult Drosophila brain reveals insights into sensorimotor processing,core_relevant,27,25
