work_id,title,agent_decision,human_decision,reviewer,reviewed_at,note
work_abc34e8021d218e5,Systematic expression profiling of dprs and DIPs reveals cell surface codes in Drosophila larval peripheral neurons,out_of_scope,out_of_scope,human,2026-08-24,Molecular CSP expression for synaptic partner recognition; not wiring reconstruction. Confirm v3 out_of_scope; drop from v2-inclusive PDF union.
work_dda2d8a551d5c252,Reprogramming the brain with synthetic neurobiology.,adjacent_relevant,out_of_scope,human,2026-08-24,Synthetic neurobiology review; connectome mention is incidental.
work_7893fa8920265f3d,Analysis of parameter changes of a neuronal network model using transfer entropy,adjacent_relevant,out_of_scope,human,2026-08-24,Transfer-entropy analysis of Hodgkin-Huxley neuron pairs; not connectome data.
work_efa1acdd97113edd,Critical role of histone turnover in neuronal transcription and plasticity,adjacent_relevant,out_of_scope,human,2026-08-24,Molecular/epigenetic histone turnover and neuronal plasticity; not EM/wiring-graph connectomics.
work_fd723f1b7f3850c4,Accelerated Diffusion Spectrum Imaging with Compressed Sensing using Adaptive Dictionaries,adjacent_relevant,out_of_scope,human,2026-08-24,Macro diffusion MRI / tractography acquisition; not nanoscale wiring connectomics.
work_6cf64563304b280d,Architecture of Tunneling Nanotubes : a Structural Approach,adjacent_relevant,out_of_scope,human,2026-08-24,PhD thesis on tunneling-nanotube ultrastructure; not neural wiring-graph connectomics.
work_ee1fd1a8d4cf36d2,De novo assembly and annotation of the Acropora gemmifera transcriptome.,role_bridge,out_of_scope,human,2026-08-24,Coral transcriptome assembly in Marine Genomics; not connectomics.
work_80ccbec6ef51de4f,Quick 3D Elemental Mapping of Biological Tissues using Super High Solid Angle EDS,adjacent_relevant,out_of_scope,human,2026-08-24,Array-tomography EDS elemental mapping of tissues; not wiring-graph connectomics.
work_f3a343dac82ddb86,Affinity requirements for control of synaptic targeting and neuronal cell survival by heterophilic IgSF cell adhesion molecules,adjacent_relevant,out_of_scope,human,2026-08-24,"Drosophila DIP/Dpr CAM affinity and cell survival; molecular synaptic targeting, not wiring reconstruction."
work_249e731cb655fcd8,1950s-1990s: The pioneering era of insect neuroscience in Uruguay.,adjacent_relevant,out_of_scope,human,2026-08-24,Historical review of insect EM in Uruguay; not wiring-graph connectomics.
work_3e60fe428a3b9056,Sustained expression of unc-4/Hox and unc-37/Groucho in postmitotic neurons specifies the spatial organization of the cholinergic synapses in C. elegans,adjacent_relevant,out_of_scope,human,2026-08-24,both-inclusive #8: exclude unc-4/Hox bioRxiv duplicate pair
work_66a647fb0882e511,Sustained expression of unc-4 homeobox gene and unc-37/Groucho in postmitotic neurons specifies the spatial organization of the cholinergic synapses in C. elegans,adjacent_relevant,out_of_scope,human,2026-08-24,both-inclusive #8: exclude unc-4/Hox eLife duplicate pair
work_40d5af324ef3fb9a,Neuropeptide signalling shapes feeding and reproductive behaviours in male Caenorhabditis elegans,adjacent_relevant,out_of_scope,human,2026-08-24,both-inclusive #10: exclude neuropeptide male C. elegans LSA
work_9942d849a5c5e13d,Neuropeptide signalling shapes feeding and reproductive behaviours in male C. elegans,adjacent_relevant,out_of_scope,human,2026-08-24,both-inclusive #10: exclude neuropeptide male C. elegans bioRxiv
work_24d17db375924e69,Correction: Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,uncertain,out_of_scope,human,2026-08-24,Outside #13A: Correction record; not a separate corpus entry. See main paper DOI 10.1371/journal.pbio.0030068.
work_fd6353a8d1e9547e,Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,adjacent_relevant,adjacent_relevant,human,2026-08-24,Has Correction DOI 10.1371/journal.pbio.0030350 (excluded as separate entry; content note only).
work_bfd6257501fca857,Corrigendum: GRETNA: a graph theoretical network analysis toolbox for imaging connectomics,out_of_scope,out_of_scope,human,2026-08-24,Outside #14B: Corrigendum only; not a separate corpus entry. See main GRETNA DOI 10.3389/fnhum.2015.00386.
work_293578fb8aea829e,GRETNA: a graph theoretical network analysis toolbox for imaging connectomics,out_of_scope,out_of_scope,human,2026-08-24,Has Corrigendum DOI 10.3389/fnhum.2015.00458 (excluded as separate entry; content note only).
work_2839d159b329c51e,Graph Matching Based Connectomic Biomarker with Learning for Brain Disorders,out_of_scope,role_bridge,human,2026-08-24,Outside #16A: keep as role_bridge (graph-matching connectomic biomarker).
