work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,authors,year,venue,doi,abstract,publication_types,citation_count_work,has_recovered_bridge_version,has_retained_version,survey_tier,analysis_tier,curriculum_labels,curriculum_label_primary,curriculum_label_count
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,1,c61c2773d3519d785b2e0476fa3521a2179d30fd,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,12d4b5c64904b37b438fda33e419cc56df9ce2190c35a811e5d045969ded1c81,batch_000,adjacent_relevant,"['structure_function_modeling', 'biological_application']",0.72,Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex,Commentary linking EM synaptic connectivity findings to vertebrate cognition; related but not core pipeline work.,[],True,low_confidence,R. Fields; PhD R. Douglas Fields,2025.0,The Neuroscientist,10.1177/10738584251337656,"Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex, raising the question of how information is transmitted by action potentials in these neural networks. Differences in field potential oscillations (brainwaves) and glia between vertebrates and invertebrates provide a possible answer that can also account for the incomparable increase in the cognitive ability of vertebrates.",JournalArticle,1,False,True,adjacent_relevant,adjacent,[],,0
work_0128137052dec3e0,529dced83d9366301577eec26503d894116c54f5,core_audit,1,529dced83d9366301577eec26503d894116c54f5,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,4eec9a769f3666ca298c0497ebddc92911d1c85955a2cc0020642eb1245f2580,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,functional inhibitory connectome; synaptic conductance inference ... whole-cell recordings; synaptic interactions,"Electrophysiological synaptic circuit mapping in preBötC—synaptic-resolution physiology, not EM reconstruction.",[],True,low_confidence,Yaroslav I. Molkov; H. Koizumi; Jeffrey C. Smith,2026.0,bioRxiv,10.64898/2026.05.23.727419,"The preBötzinger Complex (preBötC) within the medulla oblongata contains neuronal circuits critical for generating the mammalian respiratory rhythm, but the functional connectivity among its core excitatory and inhibitory populations remains debated. Defining this connectivity requires disentangling synaptic interactions of functionally identified excitatory and inhibitory preBötC neurons with various electrophysiological phenotypes. We applied a novel synaptic conductance inference method to whole-cell recordings from genetically specified VgluT2-expressing (excitatory) and VGAT-expressing (inhibitory) preBötC neurons active in the rhythmic medullary slice in vitro, which contains core inhibitory-excitatory circuitry with an excitatory rhythmogenic kernel. We found that this circuitry consists of a self-exciting inspiratory VgluT2 population coupled to inspiratory and expiratory VGAT populations that interact reciprocally through inhibition. The functional inhibitory connectome is more complex than previously understood. However, compared with functional synaptic interactions inferred from recordings in the preBötC in situ, the neuronal synaptic conductance profiles in the rhythmic slice reveal a functionally reduced inhibitory connectome, characterized by prominent tonic expiratory inhibition and phasic inspiratory inhibition, without the characteristic multiphasic structure in situ. These results indicate that the functional excitatory and inhibitory circuit interactions within the preBötC isolated in vitro, although reduced relative to more intact states in situ, are intrinsically designed to generate coordinated inspiratory and expiratory population activity. Tonic expiratory phase inhibition together with inspiratory phasic inhibition serves to regulate excitability and phase transitions of the excitatory rhythmogenic kernel.",JournalArticle,0,False,True,adjacent_relevant,adjacent,[],,0
work_01a371d322fa7848,0ca01e9a1670ec8571bbb367df253715093b201f,core_audit,1,0ca01e9a1670ec8571bbb367df253715093b201f,Optical Imaging in Brainsmatics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,05f01efad07a18fa192e9506d76c21ddebfcb5581b11424f00be7f6b27693af1,batch_000,adjacent_relevant,"['acquisition_preparation', 'alternative_modality', 'infrastructure']",0.78,whole-brain connectome in consistent single-neuron resolution; optical imaging ... tracing and surveying,Optical brainsmatics for single-neuron-resolution whole-brain connectivity—adjacent modality to EM core.,[],True,low_confidence,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,2019.0,Photonics,10.3390/photonics6030098,"When neuroscience’s focus moves from molecular and cellular level to systems level, information technology mixes in and cultivates a new branch neuroinformatics. Especially under the investments of brain initiatives all around the world, brain atlases and connectomics are identified as the substructure to understand the brain. We think it is time to call for a potential interdisciplinary subject, brainsmatics, referring to brain-wide spatial informatics science and emphasizing on precise positioning information affiliated to brain-wide connectome, genome, proteome, transcriptome, metabolome, etc. Brainsmatics methodology includes tracing, surveying, visualizing, and analyzing brain-wide spatial information. Among all imaging techniques, optical imaging is the most appropriate solution to achieve whole-brain connectome in consistent single-neuron resolution. This review aims to introduce contributions of optical imaging to brainsmatics studies, especially the major strategies applied in tracing and surveying processes. After discussions on the state-of-the-art technology, the development objectives of optical imaging in brainsmatics field are suggested. We call for a global contribution to the brainsmatics field from all related communities such as neuroscientists, biologists, engineers, programmers, chemists, mathematicians, physicists, clinicians, pharmacists, etc. As the leading approach, optical imaging will, in turn, benefit from the prosperous development of brainsmatics.",Review,4,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_020e3982c01153ed,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,unresolved,1,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,An efficient 3D extraction and reconstruction method for myelinated axons of mouse cerebral cortex based on mixed intelligence,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,7b7687adfd1fbc0e39ee9850bcaace09fb17f6e08b2e0825eba15ca09a7606ec,batch_000,adjacent_relevant,"['reconstruction_segmentation', 'alternative_modality']",0.72,3D morphology ... myelinated axons; mouse brain connectome; high-resolution X-ray microtomography,"Automated axon reconstruction for mouse connectomics via X-ray—related infrastructure/method, not synaptic EM core.",[],True,low_confidence,Fang Yan; Jieji Ren; Zhifeng Shao; Xiaowei Li,2023.0,BIO Web of Conferences,10.1051/bioconf/20235903017,"Accurate reconstruction of the 3D morphology and spatial distribution of myelinated axons in mouse brains is very important for understanding the mechanism and dynamic behavior of long-distance information transmission between brain regions. However, it is difficult to segment and reconstruct myelinated axons automatically due to two reasons: the amount of it is huge and the morphology of it is different between brain regions. Traditional artificial labeling methods usually require a large amount of manpower to label each myelinated axon slice by slice, which greatly hinders the development of the mouse brain connectome. In order to solve this problem and improve the reconstruction efficiency, this paper proposes an annotation generation method that takes the myelinated axon as prior knowledge, which can greatly reduce the manual labeling time while reaching the level of manual labeling. This method consists of three steps. Firstly, the 3D axis equation of myelinated axons is established by sparse axon artificial center point labels on slices, and the region to be segmented is pre-extracted according to the 3D axis. Subsequently, the U-Net network was trained by a small number of artificially labeled myelinated axons and was used for precise segmentation of output by the last step, so as to obtain accurate axon 2D morphology. Finally, based on the segmentation results, the high-precision 3D reconstruction of axons was performed by imaris software, and the spatial distribution of myelinated axons in the mouse brain was reconstructed. In this paper, the effectiveness of this method was verified on the dataset of high-resolution X-ray microtomography of the mouse cortex. Experiments show that this method can achieve an average MIoU 81.57, and the efficiency can be improved by more than 1400x compared with the manual labeling method.",JournalArticle;Conference,0,False,True,adjacent_relevant,adjacent,[],,0
work_0278bad00a302fb7,72873f1a9faedf9f8825b30298d62d42ae2b0e64,core_audit,1,72873f1a9faedf9f8825b30298d62d42ae2b0e64,Cognitive synaptopathy: synaptic and dendritic spine dysfunction in age-related cognitive disorders,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,62806270de51952c311e7081a75f98ee486a52813016c861f1ff9bed3233a2e6,batch_000,adjacent_relevant,"['biological_application', 'health_translation']",0.68,synaptic and dendritic spine dysfunction; abnormal connectomics at the level of local neuronal circuits,"Review of synaptic/spine dysfunction in cognitive disorders—related synaptic biology, not EM connectomics core.",[],True,low_confidence,Francisco J. Barrantes,2024.0,Frontiers in Aging Neuroscience,10.3389/fnagi.2024.1476909,"Cognitive impairment is a leading component of several neurodegenerative and neurodevelopmental diseases, profoundly impacting on the individual, the family, and society at large. Cognitive pathologies are driven by a multiplicity of factors, from genetic mutations and genetic risk factors, neurotransmitter-associated dysfunction, abnormal connectomics at the level of local neuronal circuits and broader brain networks, to environmental influences able to modulate some of the endogenous factors. Otherwise healthy older adults can be expected to experience some degree of mild cognitive impairment, some of which fall into the category of subjective cognitive deficits in clinical practice, while many neurodevelopmental and neurodegenerative diseases course with more profound alterations of cognition, particularly within the spectrum of the dementias. Our knowledge of the underlying neuropathological mechanisms at the root of this ample palette of clinical entities is far from complete. This review looks at current knowledge on synaptic modifications in the context of cognitive function along healthy ageing and cognitive dysfunction in disease, providing insight into differential diagnostic elements in the wide range of synapse alterations, from those associated with the mild cognitive changes of physiological senescence to the more profound abnormalities occurring at advanced clinical stages of dementia. I propose the term “cognitive synaptopathy” to encompass the wide spectrum of synaptic pathologies associated with higher brain function disorders.",Review;JournalArticle,22,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_029643354bb1e658,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,core_audit,1,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,Untangling the cortico-thalamo-cortical loop: cellular pieces of a knotty circuit puzzle,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,be19261ece4a3fa604ed13b1489eb6c53a3ab3f0ba5324fa983aad9fcaa4c0ca,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,synaptic connectivity in cortico-thalamo-cortical loops; cell type-specific synaptic connections,Review of CTC synaptic circuit organization—circuit neuroscience adjacent to but not nanoscale connectome mapping.,[],True,low_confidence,G. Shepherd; Naoki Yamawaki,2021.0,Nature Reviews Neuroscience,10.1038/s41583-021-00459-3,"Functions of the neocortex depend on its bidirectional communication with the thalamus, via cortico-thalamo-cortical (CTC) loops. Recent work dissecting the synaptic connectivity in these loops is generating a clearer picture of their cellular organization. Here, we review findings across sensory, motor and cognitive areas, focusing on patterns of cell type-specific synaptic connections between the major types of cortical and thalamic neurons. We outline simple and complex CTC loops, and note features of these loops that appear to be general versus specialized. CTC loops are tightly interlinked with local cortical and corticocortical (CC) circuits, forming extended chains of loops that are probably critical for communication across hierarchically organized cerebral networks. Such CTC–CC loop chains appear to constitute a modular unit of organization, serving as scaffolding for area-specific structural and functional modifications. Inhibitory neurons and circuits are embedded throughout CTC loops, shaping the flow of excitation. We consider recent findings in the context of established CTC and CC circuit models, and highlight current efforts to pinpoint cell type-specific mechanisms in CTC loops involved in consciousness and perception. As pieces of the connectivity puzzle fall increasingly into place, this knowledge can guide further efforts to understand structure–function relationships in CTC loops. The neocortex and the thalamus are connected by looping circuits, enabling cortical function. In this Review, Gordon Shepherd and Naoki Yamawaki examine the patterns of connectivity between the major types of cortical and thalamic neurons and how these cortico-thalamo-cortical loops relate to corticocortical circuits.",Review;JournalArticle,180,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_0308d268ca38e94f,9e3f2be4af4e1b9debd458b655bfc40aa2da4ddb,core_audit,1,9e3f2be4af4e1b9debd458b655bfc40aa2da4ddb,Intrinsic elaboration of prefrontal modularity: a dual-control model of axon bundling and synaptic docking,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,eada29d3f8119b7bafd26c5b72228c50277a9ca140c52f18e2b4f1db8d42defb,batch_000,adjacent_relevant,"['biological_application', 'structure_function_modeling']",0.65,spatial transcriptomics and connectomics; Dual-Control Model of circuit assembly; long-range connectivity,PFC developmental circuit assembly with connectomics context—adjacent developmental circuit biology.,[],True,low_confidence,Tetsuo Yamamori; A. Watakabe; Henrik Skibbe,2026.0,Frontiers in Neuroanatomy,10.3389/fnana.2026.1761080,"The evolutionary expansion of the primate prefrontal cortex (PFC) presents a profound biological enigma: how does this region achieve a highly ordered, modular architecture in the absence of direct dense sensory templates that govern primary sensory areas? In this review, we synthesize classical neuroanatomical frameworks with recent advances in spatial transcriptomics and connectomics to delineate a model of intrinsic elaboration. We propose that PFC modularity emerges from a developmental program facilitated by expansion of the outer subventricular zone (OSVZ) and the legacy of whole-genome duplication (2R-WGD). Central to this proposal is a “Dual-Control Model” of circuit assembly, inferred by integrating anatomical tracer data with spatial and spatiotemporal transcriptomic datasets. This framework suggests that long-range connectivity is established through pre-target axon bundling (fasciculation), governed by a high-dimensional navigation code (e.g., ephrin/Eph, PCDH11X, PCDH17, ROBO2), while these bundles are anchored onto vertical columnar scaffolds through synaptic docking mechanisms (e.g., CBLN2, cadherins). By contrasting the PFC with the map-driven visual system, point-driven olfactory system, and layer-driven hippocampus, we argue that PFC uniqueness lies not in novel genes but in a combinatorial logic of a shared molecular toolkit, which can be understood as intrinsic elaboration. This framework may facilitate the emergence of a cognitive scaffold under relatively weak external sensory constraints. These molecular systems are considered to operate in concert with activity-dependent developmental refinement rather than independently of neural activity.",Review;JournalArticle,0,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_03367aebcb1d754d,40e3bcea424efa7f29be056329376c03ee3446c8,core_audit,1,40e3bcea424efa7f29be056329376c03ee3446c8,"Modeling and simulation of neocortical micro- and mesocircuitry (Part II, Physiology and experimentation)",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,dacc8f4b0730590905750f052ba9d0d4b1850cc0eaa31053a5836a9a51d7516f,batch_000,adjacent_relevant,"['structure_function_modeling', 'network_science']",0.72,"neocortical micro- and mesocircuitry; 4.2 million ... neurons, and 13.2 billion local and mid-range synapses; rewired connectome ... electron microscopy","Large-scale biophysical neocortical circuit model informed by EM targeting rules—adjacent modeling, not primary EM reconstruction.",[],True,low_confidence,James B. Isbister; András Ecker; C. Pokorny; Sirio Bolaños-Puchet; Daniela Egas Santander; Alexis Arnaudon; O. Awile; Natalí Barros-Zulaica; Jorge Blanco Alonso; Elvis Boci; G. Chindemi; J. Courcol; T. Damart; Thomas Delemontex; Alexander Dietz; Gianluca Ficarelli; Michael Gevaert; J. Herttuainen; Genrich Ivaska; W. Ji; D. Keller; J. King; Pramod S. Kumbhar; Samuel Lapere; Polina Litvak; Darshan Mandge; Eilif B. Muller; Fernando L. Pereira; Judit Planas; Rajnish Ranjan; M. Reva; Armando Romani; Christian A. Rössert; F. Schürmann; Vishal Sood; Aleksandra Teska; Anil M Tuncel; Werner Van Geit; M. Wolf; H. Markram; Srikanth Ramaswamy; Michael W. Reimann,2024.0,bioRxiv,10.7554/elife.99693,"Cortical dynamics underlie many cognitive processes and emerge from complex multi-scale interactions, which are challenging to study in vivo. Large-scale, biophysically detailed models offer a tool which can complement laboratory approaches. We present a model comprising eight somatosensory cortex subregions, 4.2 million morphological and electrically-detailed neurons, and 13.2 billion local and mid-range synapses. In silico tools enabled reproduction and extension of complex laboratory experiments under a single parameterization, providing strong validation. The model reproduced millisecond-precise stimulus-responses, stimulus-encoding under targeted optogenetic activation, and selective propagation of stimulus-evoked activity to downstream areas. The model’s direct correspondence with biology generated predictions about how multiscale organization shapes activity; for example, how cortical activity is shaped by high-dimensional connectivity motifs in local and mid-range connectivity, and spatial targeting rules by inhibitory subpopulations. The latter was facilitated using a rewired connectome which included specific targeting rules observed for different inhibitory neuron types in electron microscopy. The model also predicted the role of inhibitory interneuron types and different layers in stimulus encoding. Simulation tools and a large subvolume of the model are made available to enable further community-driven improvement, validation and investigation.",JournalArticle,20,False,True,adjacent_relevant,adjacent,[],,0
work_03b8b6340a7756de,061a875a9e8b751e5d229e5f8562ca0ce640762c,core_audit,1,061a875a9e8b751e5d229e5f8562ca0ce640762c,Analysis of segmentation ontology reveals the similarities and differences in connectivity onto L2/3 neurons in mouse V1,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c6da3c1c275b86a7b8de2accebd174464a8188fe9535ba3a491d43e0111a413e,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.75,long-range presynaptic connectivity onto excitatory and inhibitory neurons ... mouse primary visual cortex; inputs,"Long-range connectivity comparison onto V1 cell classes—circuit connectivity, modality not clearly EM dense connectomics.",[],True,low_confidence,A. P. Brown; L. Cossell; M. Strom; A. Tyson; Mateo Vélez‐Fort; T. Margrie,2021.0,Scientific Reports,10.1038/s41598-021-82353-7,"Quantitatively comparing brain-wide connectivity of different types of neuron is of vital importance in understanding the function of the mammalian cortex. Here we have designed an analytical approach to examine and compare datasets from hierarchical segmentation ontologies, and applied it to long-range presynaptic connectivity onto excitatory and inhibitory neurons, mainly located in layer 2/3 (L2/3), of mouse primary visual cortex (V1). We find that the origins of long-range connections onto these two general cell classes—as well as their proportions—are quite similar, in contrast to the inputs on to a cell type in L6. These anatomical data suggest that distal inputs received by the general excitatory and inhibitory classes of neuron in L2/3 overlap considerably.",JournalArticle,7,False,True,adjacent_relevant,adjacent,[],,0
work_03f185e6c6909898,f986140ddddfee7253eec580341a6c9aa49a49a8,unresolved,1,f986140ddddfee7253eec580341a6c9aa49a49a8,"Integrative analysis of single-neuron projectomes links connectome, transcriptome, and function in the mouse cortex.",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,272052312ca1d0cd3630f59d6b84542b48bef83f04b2cce61ee6e5c5cb92782e,batch_000,adjacent_relevant,"['biological_application', 'network_science', 'alternative_modality']",0.8,"reconstructed the projectomes of nearly 20,000 neurons in the whole mouse cortex; single-neuron connectivity",Large-scale single-neuron projectome mapping (light-level projections)—mesoscale adjacent to synaptic EM core.,['mesoscale_only'],True,low_confidence,Le Gao; Haifang Wang; Yu Chen; Zhaoqin Chen; Li Deng; Dechen Liu; Xiaojing Ding; Ziwei Le; Yuan Liu; Yun Du; Qiumiao Wang; Yannong Dou; Dan Wang; Yuzhe Huang; Lijie Zhan; Shujun Lei; Qingxu Liu; Tao Jiang; Miao Ren; Zhao Feng; Anan Li; Hui Gong; Xiaohong Xu; Chun Xu; Xiaofei Wang; Jun Yan,2025.0,Neuron,10.1016/j.neuron.2025.10.019,"The mammalian cortex orchestrates sensory processing, motor control, and cognition through a complex neural network, yet the organization principles governing single-neuron connectivity and its relationship with transcriptome and neuron activity remain elusive. Here, we reconstructed the projectomes of nearly 20,000 neurons in the whole mouse cortex, identifying 346 projection-defined subtypes with region- and layer-specific distributions. Our analysis uncovered seven cortico-cortical modules with submodular organization, high-resolution cortical hierarchy, and diverse terminal arborization patterns of single neurons refining the traditional feedforward/feedback model. Furthermore, we revealed cortico-subcortical projections, including multiple hyper-direct cortico-basal ganglia pathways, and constructed the detailed topographic maps between cortical neurons and their subcortical target regions. Finally, we showed that our fine-grained cortico-cortical connectivity map is closely related to the cortex-wide Ca2+ activity, electrical neuronal activity, and gene expression. Together, our multimodal analysis provides a foundational framework for understanding the cortical neural network in the mouse brain.",JournalArticle,6,False,True,adjacent_relevant,adjacent,[],,0
