work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason
work_0001c442a520339a,d2dddce8d2119de2f515efa9921dc7c01a985d2d,unresolved,1,d2dddce8d2119de2f515efa9921dc7c01a985d2d,Baseline biomarkers of connectome disruption and atrophy predict future processing speed in early multiple sclerosis,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,bb19684dc7e28ac0f3103c0db0ed940fc7849bf6f95d626573873d0f88518d92,batch_000,out_of_scope,['network_science'],0.92,connectome disruption due to T2-FLAIR lesions; white matter abnormalities; Network Modification Tool,"MRI lesion disconnectome / macroscale network metrics in MS, not nanoscale/synaptic connectomics.",['generic_network_neuroscience'],True,random_high_confidence_exclusion_audit
work_00089fd941984712,1189a587d37f99a2bba69e15f4cb8110aabc4149,unresolved,1,1189a587d37f99a2bba69e15f4cb8110aabc4149,Semi-Metric Topology of the Human Connectome: Sensitivity and Specificity to Autism and Major Depressive Disorder,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5f12c5543ef9826f94cb314339f7b9bbb7a7ef7cedf1907053070a63bb9c9791,batch_000,out_of_scope,['network_science'],0.95,human functional connectome; BOLD time-series measured by MRI,BOLD functional connectome topology in psychiatric cohorts.,['resting_state_or_functional_connectivity'],False,
work_000e65dd7ca70fca,61edbfd4025d239f16470e59260ce11d650dd76e,unresolved,1,61edbfd4025d239f16470e59260ce11d650dd76e,"Harmonizing 10,000 connectomes: site-invariant representation learning for multi-site analysis of network connectivity and cognitive impairment",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,b6e43332bfb40bf1d2b5db4752216c5810b1199127104b5c5a11bfc6a0aa6898,batch_000,out_of_scope,['network_science'],0.95,diffusion magnetic resonance imaging; structural connectivity; diffusion-weighted imaging sessions,Multi-site dMRI structural-connectivity harmonization.,['diffusion_mri_or_tractography'],False,
work_001454df91336514,a9711483c91489ffd7cebb5cd9370694ed92544a,core_audit,1,a9711483c91489ffd7cebb5cd9370694ed92544a,Role of neural activity during synaptogenesis in Drosophila,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8f3fd3b1844fd78e92fb74c03a7d38a20610c56b413a1d6a9e9c1a52aaced7d6,batch_000,uncertain,['biological_application'],0.55,regulation of synaptic connectivity in Drosophila; foreign neuromuscular synapses,Activity-dependent NMJ synaptogenesis; synaptic biology but not clearly connectome mapping—defer rather than exclude.,[],True,core_noise_audit
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,1,c61c2773d3519d785b2e0476fa3521a2179d30fd,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,12d4b5c64904b37b438fda33e419cc56df9ce2190c35a811e5d045969ded1c81,batch_000,adjacent_relevant,"['structure_function_modeling', 'biological_application']",0.72,Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex,Commentary linking EM synaptic connectivity findings to vertebrate cognition; related but not core pipeline work.,[],True,low_confidence
work_001c0f01391e19c4,8f5905570bdf6035df2344ecb4b3486088afbfaa,role_bridge,1,8f5905570bdf6035df2344ecb4b3486088afbfaa,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c97ed81e35c26211b877990dc3a110443609f0eb1cd4cf7f9d77e241aed27bbd,batch_000,core_relevant,"['synapse_inference', 'acquisition_preparation']",0.93,"FIB-SEM, a three-dimensional electron microscopy technique, to calculate the actual numbers of synapses",Volume EM synapse counting calibrated against genetic synaptic labels.,[],False,
work_0061e496fde63c76,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,unresolved,1,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,NEUROIMAGING AND CONNECTOMICS OF DRUG-RESISTANT EPILEPSY AT MULTIPLE SCALES: FROM FOCAL LESIONS TO MACROSCALE NETWORKS,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,f3fdbf7526eb4ab1a799e654d5eb6f0b984174c435365a282dc97498ff319006,batch_000,out_of_scope,"['network_science', 'health_translation']",0.9,MRI techniques can probe structural and functional connectivity; macroscale network anomalies,MRI neuroimaging/connectomics review of epilepsy at macroscale.,"['resting_state_or_functional_connectivity', 'generic_network_neuroscience']",True,random_high_confidence_exclusion_audit
work_006f5173328de364,2245d1e4df82d2f0fd9b6c98e93543dfb6a601e8,unresolved,1,2245d1e4df82d2f0fd9b6c98e93543dfb6a601e8,Using connectome-based predictive modeling to predict individual behavior from brain connectivity,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,7072da9afe1efa8693e822b88d8d754cc7c44d4b40ae01fad5216772a99dec3e,batch_000,out_of_scope,['network_science'],0.93,"fMRI, diffusion tensor imaging (DTI); connectome-based predictive modeling","Behavior prediction from MRI/DTI connectivity, not nanoscale connectomics.","['resting_state_or_functional_connectivity', 'diffusion_mri_or_tractography']",False,
work_007a21bf306095ee,d0ce113a8440bf125349e51542005fbc46c20ccd,role_bridge,1,d0ce113a8440bf125349e51542005fbc46c20ccd,Genome Annotation and Analysis,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],True,uncertain_or_missing_abstract
work_007bc0362b8a3d88,cdcee67b431d106d7083a6730ab5fcd43c3cb51b,unresolved,1,cdcee67b431d106d7083a6730ab5fcd43c3cb51b,Structural Covariance Networks in Post-Traumatic Stress Disorder: A Multisite ENIGMA-PGC Study,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,6387733d8f76e6af21744fac927b03a634c545044b1d8260274781721b423c6d,batch_000,out_of_scope,"['network_science', 'health_translation']",0.9,Structural covariance networks (SCN) constructed from CT and SA; graph theory measure,Macroscale structural covariance networks in PTSD.,['generic_network_neuroscience'],False,
